"","masked_celphone_number","hashed_celphone_number","date","text","carrier"
0,"+63960****373","91caa5d6-1f97-3a2d-982b-5b0c021632ab","2022-11-12 14:02:10.079","Welcome ! your have P1222 for S!ot , 
Web: 11y.life     
Good Luck!C","Smart"
1,"+63981****852","f66589b7-4e6a-33ba-b7c5-d0dacb48552b","2022-11-12 14:33:48.916","My god, at least 999P rewards waiting for you

UrI: pinaswin,com

Best Ba,raha  .r","Smart"
2,"+63946****113","1f332ce5-618e-32e6-b2ab-8e567917aeef","2022-11-13 23:03:15.023","DEAR VIP <REAL NAME>, No. 1 Online Sabong Site here in SBET!

Register now and Play Cockfighting and Slot Game Machine! You can claim your 100 FREE BET CREDIT and Win 88k Cash Prizes! here in sbet7now.com/SABONGNOW","TNT"
3,"+63950****934","5e6fcdc3-b2b8-3f71-b411-cacb8d40a0b9","2022-11-14 00:07:18.715","<REAL NAME>! Today, you can win the iphone14PROMAX while earning a ton of cash prizes in W+. You can receive a 7777 Sign-up Bonus. click now! wp8luck.com/8888WIN","TNT"
4,"+63960****401","aafa248f-04ef-3005-a672-db79286919ee","2022-11-15 02:28:56.636","Welcome ! your have P1222 for S!ot , 
Web: great-s.life
Good Luck!U","Smart"
5,"+63960****168","4ba1b761-12dc-3aca-bbfe-914fdd365717","2022-11-15 06:13:44.676","Welcome ! your have P1222 for S!ot , 
Web: will-j.life
Good Luck!x","Smart"
6,"+63909****826","d377c2af-cb00-3b8c-ba78-8f3c22de5bb5","2022-11-18 01:29:52.274","Hottest News! Join JB Day, Make it your day! Spin your luck here! Sign up now and get your Golden Egg! and we have Daily Deposit Bonus! antiviruspedia.net/Live","TNT"
7,"+63985****042","368d0ea5-42f9-3f34-9094-36c058043ed6","2022-11-18 15:26:17.780","Sugal hindi na need pumunta CAS1NO, pIay online at manalo araw araw, upto 8888 na welcome bonus, 24 hours cash in/out.
Web: win-m.life","Smart/TNT"
8,"+63981****939","c66154ea-38ec-31f9-a963-46b7bec56310","2022-11-18 19:10:16.372","Wag na masyadong mapakapagod dahil friday na! Isa sa pinaka the BE$T na gawin mamaya ay ang mag Enjoy dito! apkgametop.com/LivePH See you later my friend!","Smart"
9,"+63909****355","6667b37c-0fe3-3252-8e32-1601b515061a","2022-11-19 00:39:10.128","Happy Weekend! Magrelax at Mag-Enjoy kasama ang pamilya! May Special Register B0NUS 8p CA$H Prize and chance to win of Golden Egg Draw! knetww.com/LiveAPP","TNT"
10,"+63912****690","f35640b0-1074-3f25-866d-2ba8736cbe6d","2022-11-19 03:40:53.748","Napaka ganda ng pasok ng Weekend! Dahil dito kay antiviruspedia.net/Live napaka daming B0nu$ naghihintay sayo, hindi lang yan dahil chance mo pang maging VIP!","TNT"
11,"+63910****721","b882620e-35fa-3be8-a260-6dd56e9a4746","2022-11-19 11:26:47.132","Current users will send 10,000 USDT to experience the transaction gold.Google play or APP store search for mybitglobal to download apps","TNT"
12,"+63909****694","c4c34940-68d9-392d-8604-a0446d43a14d","2022-11-19 14:08:23.436","Maglaro na at kolektahin ang mga Promotion Bonus na naghihintay sayo at ang mega jackpot x10 - x100 B3T! halina't mag laro ngayon dito! apkgametop.com/LivePH","TNT"
13,"+63981****845","aa0bd1f8-6c29-3ac8-b91c-ecb67f92cac4","2022-11-20 05:01:19.196","Sugal hindi na need pumunta CAS1NO, pIay online at manalo araw araw, upto 8888 na welcome bonus, 24 hours cash in/out.
Web: game-j.life","Smart"
14,"+63912****882","ed0d93e2-11a9-3703-a73f-e153c430978f","2022-11-21 03:45:57.543","Cold Monday! This is your Lucky Day! DAhil nandit0 na si apkgametop.com/LivePH na laging nag bibigay ng premyo at B0nu$! Kaya Try m0 na dito! The Be$st dito.","TNT"
