LABEL,TEXT,URL,EMAIL,PHONE
Smishing,URGENT: Your Union Bank of India debit card has been temporarily suspended. Verify your details here: http://kyc-verify-secure.info/x0k0q,yes,No,No
Smishing,ICICI Bank Alert: Unusual login detected on your account. Secure it now: http://kyc-verify-secure.info/s5w6r,yes,No,No
spam,"Limited period offer! Get instant personal loan up to Rs.7,336 with minimal documentation. Apply today.",No,No,No
spam,"Limited period offer! Get instant personal loan up to Rs.59,833 with minimal documentation. Apply today.",No,No,No
spam,"Get a free credit card with zero annual fee. Apply now and get Rs.5,886 welcome bonus.",No,No,No
ham,Your FedEx package (Tracking ID 5947875957) was delivered today at 9:09 PM. Thank you for choosing us.,No,No,No
ham,"Dear Customer, Rs.458,579 debited from your Union Bank of India account ending 8362 on 19-05-2025. Avl Bal: Rs.4,657.",No,No,No
ham,Your Shadowfax package (Tracking ID 8634727683) was delivered today at 7:53 PM. Thank you for choosing us.,No,No,No
spam,"Limited period offer! Get instant personal loan up to Rs.29,762 with minimal documentation. Apply today.",No,No,No
spam,"Earn Rs.81,388 daily working from home. No investment needed. Reply YES to start.",No,No,No
spam,"Congratulations! You qualify for a pre-approved loan of Rs.947,820. Reply APPLY now.",No,No,No
Smishing,"Income Tax Refund of Rs.578,885 is pending. Click http://parcel-redelivery.xyz/0e07p to claim before 03-12-2025. Email: leaf@customercare.co.in",yes,yes,No
ham,Reminder: Your appointment with Dr. Shreya is on 23-04-2026 at 7:40 PM. Please arrive 10 mins early.,No,No,No
ham,Meeting rescheduled to 1:15 AM on 06-02-2025. Let me know if that works for you.,No,No,No
spam,Book your dream vacation to Hyderabad at unbelievable prices. Call +917531090134 for packages.,No,No,yes
ham,Your Paytm wallet has been credited with Rs.112 cashback. Enjoy your rewards!,No,No,No
spam,"Congratulations! You qualify for a pre-approved loan of Rs.5,821. Reply APPLY now.",No,No,No
ham,Your Blue Dart package (Tracking ID 6568169575) was delivered today at 8:39 AM. Thank you for choosing us.,No,No,No
Smishing,"Congratulations! Your mobile number has won Rs.621,413 in the Ajio lucky draw. Claim now: http://rebrand.ly/EExOvu9",yes,No,No
ham,Your DTDC parcel is out for delivery and will reach you by 4:02 PM today.,No,No,No
spam,"Free recharge of Rs.958,769 on referring 3 friends to our app. Reply REFER now.",No,No,No
ham,"Hey Deepak, are we still meeting for lunch at 12:46 PM today?",No,No,No
spam,"Get 2 free movie tickets with your BSNL recharge of Rs.4,373 this week only.",No,No,No
Smishing,Your SIM card will be blocked in 24 hours. Update your Vi KYC now: http://kyc-verify-secure.info/ld0kw,yes,No,No
Smishing,"Dear customer, complete your annual bank locker KYC or it will be sealed: http://refund-claim.online/btcgc",yes,No,No
Smishing,Axis Bank Alert: Unusual login detected on your account. Secure it now: http://parcel-redelivery.xyz/jgfek Email: qspyp@support-team.com,yes,yes,No
Smishing,Final notice: Your HDFC Bank account will be suspended due to pending verification. Click: http://secure-login-update.net/4kw6v,yes,No,No
ham,"Your Airtel bill payment of Rs.85,577 was successful. Thank you for using our services.",No,No,No
spam,"Limited period offer! Get instant personal loan up to Rs.2,585 with minimal documentation. Apply today.",No,No,No
spam,Book your dream vacation to Nagpur at unbelievable prices. Call +916762931728 for packages. Email: qdjpfbj@support-team.com,No,yes,yes
ham,"Mom, I'll be home by 2:44 AM, don't wait for dinner.",No,No,No
Smishing,URGENT: Your IDBI Bank debit card has been temporarily suspended. Verify your details here: http://bit.ly/whdW9eO,yes,No,No
spam,"Get 2 free movie tickets with your Vi recharge of Rs.1,856 this week only.",No,No,No
spam,Your astrology reading says big changes are coming! Call +919688307773 for a free consultation.,No,No,yes
spam,Best forex trading tips! Turn Rs.602 into Rs.653 in a month. Call +918158069015 now.,No,No,yes
Smishing,Your Aadhaar card will be deactivated. Link with PAN immediately at http://secure-login-update.net/pz5kb to avoid penalty.,yes,No,No
Smishing,Final notice: Your Union Bank of India account will be suspended due to pending verification. Click: http://kyc-verify-secure.info/8f0km,yes,No,No
spam,Book your dream vacation to Surat at unbelievable prices. Call +916195069544 for packages.,No,No,yes
spam,"Get a free credit card with zero annual fee. Apply now and get Rs.8,313 welcome bonus.",No,No,No
spam,"Get a free credit card with zero annual fee. Apply now and get Rs.75,074 welcome bonus.",No,No,No
ham,Your Ekart package (Tracking ID 0108725624) was delivered today at 7:08 AM. Thank you for choosing us.,No,No,No
ham,Your Ekart package (Tracking ID 4666303291) was delivered today at 12:03 AM. Thank you for choosing us.,No,No,No
Smishing,"You've received a payment of Rs.949,351 via Amazon Pay. Click here to accept: http://kyc-verify-secure.info/bt3lg",yes,No,No
spam,"Exclusive insurance plan for just Rs.4,880/month. Cover your family today. Call +917215839375 to know more.",No,No,yes
Smishing,Congratulations Anjali! You've won an iPhone from Ajio. Claim your prize: http://bank-alert-update.com/7ldtq,yes,No,No
Smishing,"Congratulations! Your mobile number has won Rs.1,213 in the Nykaa lucky draw. Claim now: http://offer4u-claim.co/dd4vh",yes,No,No
Smishing,"Dear customer, complete your annual bank locker KYC or it will be sealed: http://rebrand.ly/NNAGD0n",yes,No,No
ham,"Your Vi bill payment of Rs.409,814 was successful. Thank you for using our services.",No,No,No
ham,Your Xpressbees package (Tracking ID 5927003867) was delivered today at 8:12 PM. Thank you for choosing us.,No,No,No
ham,"Your electricity bill of Rs.110,216 for September has been paid successfully. Thank you.",No,No,No
spam,"Earn Rs.978,134 daily working from home. No investment needed. Reply YES to start.",No,No,No
spam,"Get a free credit card with zero annual fee. Apply now and get Rs.592,456 welcome bonus.",No,No,No
ham,"Dear Customer, your SBI credit card payment of Rs.9,296 is due on 03-01-2026.",No,No,No
spam,Get rid of your debt today! Consolidate loans starting at low interest. Call +916106848779.,No,No,yes
ham,Your Ekart parcel is out for delivery and will reach you by 12:42 PM today.,No,No,No
Smishing,Your Mobikwik account is temporarily locked. Verify your identity to unlock: http://shorturl.at/hSJhihI,yes,No,No
ham,Thank you for shopping with Meesho. Your order #N4PKYRKQ has been shipped and will arrive by 21-08-2026.,No,No,No
ham,"Dear Customer, your Bank of Baroda credit card payment of Rs.134,971 is due on 02-11-2026.",No,No,No
spam,"Get a free credit card with zero annual fee. Apply now and get Rs.7,400 welcome bonus.",No,No,No
ham,Thank you for shopping with Meesho. Your order #P8GJ6OLQ has been shipped and will arrive by 21-01-2025.,No,No,No
ham,"Your Vi bill payment of Rs.78,642 was successful. Thank you for using our services.",No,No,No
spam,Your astrology reading says big changes are coming! Call +917959748878 for a free consultation.,No,No,yes
ham,Your Airtel prepaid recharge of Rs.912 was successful. Validity till 19-07-2025.,No,No,No
ham,"Dear Customer, Rs.3,035 debited from your IDBI Bank account ending 8466 on 11-06-2025. Avl Bal: Rs.998,434.",No,No,No
Smishing,Your Aadhaar card will be deactivated. Link with PAN immediately at http://rebrand.ly/FU0XLOQ to avoid penalty.,yes,No,No
ham,Thank you for shopping with Amazon. Your order #FBWADLS0 has been shipped and will arrive by 01-04-2026.,No,No,No
spam,"Exclusive insurance plan for just Rs.53,327/month. Cover your family today. Call +917056198632 to know more.",No,No,yes
spam,Get rid of your debt today! Consolidate loans starting at low interest. Call +918805899922.,No,No,yes
Smishing,URGENT: Your IndusInd Bank debit card has been temporarily suspended. Verify your details here: http://cutt.ly/NUnYC6X,yes,No,No
Smishing,Final notice: Your IndusInd Bank account will be suspended due to pending verification. Click: http://shorturl.at/Jy2wOYg,yes,No,No
spam,"Congratulations! You qualify for a pre-approved loan of Rs.7,791. Reply APPLY now.",No,No,No
spam,Congratulations! You qualify for a pre-approved loan of Rs.437. Reply APPLY now.,No,No,No
spam,Your astrology reading says big changes are coming! Call +917938621739 for a free consultation.,No,No,yes
Smishing,Your Paytm account is temporarily locked. Verify your identity to unlock: http://bit.ly/rKYRrQO,yes,No,No
ham,Your Mobikwik wallet has been credited with Rs.603 cashback. Enjoy your rewards!,No,No,No
ham,Your booking with Amazon for 23-04-2026 is confirmed. PNR: KIDD7LD5.,No,No,No
Smishing,"Your Delhivery parcel is on hold due to unpaid customs fee of Rs.15,120. Pay now: http://kyc-verify-secure.info/wmumi",yes,No,No
spam,"Congratulations! You qualify for a pre-approved loan of Rs.740,033. Reply APPLY now.",No,No,No
ham,Your India Post package (Tracking ID 9744032700) was delivered today at 5:08 AM. Thank you for choosing us.,No,No,No
spam,"Exclusive insurance plan for just Rs.8,322/month. Cover your family today. Call +916424926523 to know more.",No,No,yes
ham,"Dear Customer, your IndusInd Bank credit card payment of Rs.9,128 is due on 17-03-2025.",No,No,No
