LABEL,TEXT,URL,EMAIL,PHONE
spam,boAt Lucky Draw: Aapne ek free gift hamper jeeta hai! Expire hone se pehle abhi call karein 6071849265.,No,No,yes
spam,boAt aaj 100 lucky customers ko free shopping voucher de raha hai. Apna paane ke liye turant call karein 8737291161.,No,No,yes
spam,Meesho aaj 100 lucky customers ko free gift hamper de raha hai. Apna paane ke liye turant call karein 6193483510.,No,No,yes
spam,"Myntra customer service: aapka Rs.500 ka refund pending hai, claim karne ke liye click karein: http://offer4u-claim.online/86qhz",yes,No,No
spam,"PhonePe customer service: aapka Rs.200 ka refund pending hai, claim karne ke liye click karein: http://lucky-winner-alert.co/x3md4",yes,No,No
spam,Pepperfry aaj 100 lucky customers ko free smartphone de raha hai. Apna paane ke liye turant call karein 7007271723.,No,No,yes
spam,"Blinkit customer service: aapka Rs.300 ka refund pending hai, claim karne ke liye click karein: http://gift-redeem-now.co.in/21evy",yes,No,No
spam,cult.fit aaj 100 lucky customers ko free smartwatch de raha hai. Apna paane ke liye turant call karein 6781242726.,No,No,yes
spam,Aap Swiggy ke anniversary contest ke lucky winner hain. Rs.500 ka prize paane ke liye apni bank details share karein.,No,No,No
spam,Aap Meesho ke anniversary contest ke lucky winner hain. Rs.250 ka prize paane ke liye apni bank details share karein.,No,No,No
spam,Policybazaar aaj 100 lucky customers ko free gift hamper de raha hai. Apna paane ke liye turant call karein 7723324528.,No,No,yes
spam,Swiggy Lucky Draw: Aapne ek free smartphone jeeta hai! Expire hone se pehle abhi call karein 6199378255.,No,No,yes
spam,Aap Zepto ke anniversary contest ke lucky winner hain. Rs.200 ka prize paane ke liye apni bank details share karein.,No,No,No
spam,"Paytm Flash Sale: sab kuch 90% off, sirf kuch pieces bache hain! Abhi order karne ke liye BUY reply karein.",No,No,No
spam,Aap Zepto ke anniversary contest ke lucky winner hain. Rs.500 ka prize paane ke liye apni bank details share karein.,No,No,No
spam,Aap Flipkart ke anniversary contest ke lucky winner hain. Rs.50 ka prize paane ke liye apni bank details share karein.,No,No,No
spam,Badhai ho! Aapka Lenskart account ek free shopping voucher (Rs.300) ke liye select hua hai. Abhi claim karein: http://offer4u-claim.online/tu0mj,yes,No,No
spam,Badhai ho! Aapka 1mg account ek free smartwatch (Rs.300) ke liye select hua hai. Abhi claim karein: http://bonus-cashout.xyz/6zfh7,yes,No,No
spam,"Nykaa customer service: aapka Rs.50 ka refund pending hai, claim karne ke liye click karein: http://bonus-cashout.xyz/qh84m",yes,No,No
spam,"Disney+ Hotstar customer service: aapka Rs.300 ka refund pending hai, claim karne ke liye click karein: http://gift-redeem-now.co.in/30513",yes,No,No
