text,category,label_id,language,clean_text,template_hash,template_sig,source,timestamp,is_synthetic,char_len,word_count,digit_ratio,exclaim_count,special_ratio,has_url,has_phone,currency_count,urgency_count,sensitive_info_count,refund_scam_count
No my mum went 2 dentist.,PERSONAL,0,en,No my mum went 2 dentist,27004d85a5e72ca9,27004d85a5e72ca9,dataset_5971_real,2026-08-01,False,25.0,6.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Is toshiba portege m100 gd?,PERSONAL,0,en,Is toshiba portege m100 gd,a0a854327183a8e8,a0a854327183a8e8,dataset_5971_real,2026-08-01,False,27.0,5.0,0.1111111111111111,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0
"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",PERSONAL,0,en,Ill call u 2mrw at ninish with my address that icky American freek wont stop callin me 2 bad Jen k eh,4adc5754e37e01b4,4adc5754e37e01b4,dataset_5971_real,2026-08-01,False,103.0,22.0,0.019417475728155338,0.0,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,0.0
Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,PERSONAL,0,en,Anyway seriously hit me up when you re back because otherwise I have to light up with armand and he always has shit and or is vomiting,30c39e7caccf410c,30c39e7caccf410c,dataset_5971_real,2026-08-01,False,134.0,27.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0
Ha ha - had popped down to the loo when you hello-ed me. Hello!,PERSONAL,0,en,Ha ha had popped down to the loo when you hello ed me Hello,e49d3456e2d583d5,e49d3456e2d583d5,dataset_5971_real,2026-08-01,False,63.0,14.0,0.0,1.0,0.06349206349206349,0.0,0.0,0.0,0.0,0.0,0.0
Great. Never been better. Each day gives even more reasons to thank God,PERSONAL,0,en,Great Never been better Each day gives even more reasons to thank God,406f588a5581d8ac,406f588a5581d8ac,dataset_5971_real,2026-08-01,False,71.0,13.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0
"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",PERSONAL,0,en,By march ending i should be ready But will call you for sure The problem is that my capital never complete How far with you How s work and the ladies,1bd01924d9b88a97,1bd01924d9b88a97,dataset_5971_real,2026-08-01,False,154.0,31.0,0.0,0.0,0.03896103896103896,0.0,0.0,0.0,0.0,0.0,0.0
Wot about on wed nite I am 3 then but only til 9!,PERSONAL,0,en,Wot about on wed nite I am 3 then but only til 9,b0e88e336d13ae8c,b0e88e336d13ae8c,dataset_5971_real,2026-08-01,False,49.0,13.0,0.04081632653061224,1.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",PERSONAL,0,en,Hmmm Mayb can try e shoppin area one but forgot e name of hotel,a9ded9f92669ce10,a9ded9f92669ce10,dataset_5971_real,2026-08-01,False,71.0,14.0,0.0,0.0,0.11267605633802817,0.0,0.0,0.0,0.0,0.0,0.0
U WILL SWITCH YOUR FONE ON DAMMIT!!,PERSONAL,0,en,U WILL SWITCH YOUR FONE ON DAMMIT,12d18ec17d36322a,12d18ec17d36322a,dataset_5971_real,2026-08-01,False,35.0,7.0,0.0,2.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
His frens go then he in lor. Not alone wif my mum n sis lor.,PERSONAL,0,en,His frens go then he in lor Not alone wif my mum n sis lor,bd0303284aa6e382,bd0303284aa6e382,dataset_5971_real,2026-08-01,False,60.0,15.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
