LABEL,TEXT,URL,EMAIL,PHONE
spam,बधाई हो! आपका Spotify खाता एक फ्री स्मार्टफोन (Rs.500) के लिए चुना गया है। अभी दावा करें: http://lucky-winner-alert.co/kv8bh,yes,No,No
spam,Jio लकी ड्रॉ: आपने एक फ्री शॉपिंग वाउचर जीता है! एक्सपायर होने से पहले अभी कॉल करें 7573191195।,No,No,yes
spam,Amazon Prime Video आज 100 लकी कस्टमर्स को फ्री सोने का सिक्का दे रहा है। अपना पाने के लिए तुरंत कॉल करें 9526953370।,No,No,yes
spam,Amazon Prime Video आज 100 लकी कस्टमर्स को फ्री स्मार्टवॉच दे रहा है। अपना पाने के लिए तुरंत कॉल करें 9303315184।,No,No,yes
spam,Goibibo लकी ड्रॉ: आपने एक फ्री स्मार्टफोन जीता है! एक्सपायर होने से पहले अभी कॉल करें 6710743899।,No,No,yes
spam,"1mg फ्लैश सेल: सब कुछ 90% छूट, सिर्फ कुछ पीस बचे हैं! अभी ऑर्डर करने के लिए BUY रिप्लाई करें।",No,No,No
spam,Vi लकी ड्रॉ: आपने एक फ्री स्मार्टवॉच जीता है! एक्सपायर होने से पहले अभी कॉल करें 7731406101।,No,No,yes
spam,आप Titan के एनिवर्सरी कॉन्टेस्ट के लकी विनर हैं। Rs.150 का प्राइज पाने के लिए अपनी बैंक विवरण साझा करें।,No,No,No
spam,Spotify आज 100 लकी कस्टमर्स को फ्री स्मार्टफोन दे रहा है। अपना पाने के लिए तुरंत कॉल करें 7329502915।,No,No,yes
spam,बधाई हो! आपका Decathlon खाता एक फ्री स्मार्टफोन (Rs.250) के लिए चुना गया है। अभी दावा करें: http://prize-verify.info/q24gc,yes,No,No
spam,"Domino's कस्टमर सर्विस: आपका Rs.50 का रिफंड पेंडिंग है, दावा करने के लिए क्लिक करें: http://lucky-winner-alert.co/jufxe",yes,No,No
spam,"Jio फ्लैश सेल: सब कुछ 90% छूट, सिर्फ कुछ पीस बचे हैं! अभी ऑर्डर करने के लिए BUY रिप्लाई करें।",No,No,No
spam,Unacademy लकी ड्रॉ: आपने एक फ्री गिफ्ट हैम्पर जीता है! एक्सपायर होने से पहले अभी कॉल करें 8251370314।,No,No,yes
spam,"Amazon कस्टमर सर्विस: आपका Rs.300 का रिफंड पेंडिंग है, दावा करने के लिए क्लिक करें: http://offer4u-claim.online/t6pl7",yes,No,No
spam,बधाई हो! आपका IndiGo खाता एक फ्री शॉपिंग वाउचर (Rs.500) के लिए चुना गया है। अभी दावा करें: http://prize-verify.info/rjq5y,yes,No,No
spam,बधाई हो! आपका Flipkart खाता एक फ्री शॉपिंग वाउचर (Rs.250) के लिए चुना गया है। अभी दावा करें: http://gift-redeem-now.co.in/ockrs,yes,No,No
spam,बधाई हो! आपका Amazon Prime Video खाता एक फ्री स्मार्टफोन (Rs.200) के लिए चुना गया है। अभी दावा करें: http://offer4u-claim.online/ssup3,yes,No,No
spam,Axis Bank लकी ड्रॉ: आपने एक फ्री गिफ्ट हैम्पर जीता है! एक्सपायर होने से पहले अभी कॉल करें 8204556009।,No,No,yes
spam,बधाई हो! आपका Paytm खाता एक फ्री स्मार्टफोन (Rs.100) के लिए चुना गया है। अभी दावा करें: http://lucky-winner-alert.co/popyx,yes,No,No
spam,बधाई हो! आपका Unacademy खाता एक फ्री स्मार्टफोन (Rs.100) के लिए चुना गया है। अभी दावा करें: http://offer4u-claim.online/x1950,yes,No,No
spam,"Flipkart फ्लैश सेल: सब कुछ 90% छूट, सिर्फ कुछ पीस बचे हैं! अभी ऑर्डर करने के लिए BUY रिप्लाई करें।",No,No,No
spam,Airtel आज 100 लकी कस्टमर्स को फ्री सोने का सिक्का दे रहा है। अपना पाने के लिए तुरंत कॉल करें 7404942204।,No,No,yes
spam,1mg आज 100 लकी कस्टमर्स को फ्री गिफ्ट हैम्पर दे रहा है। अपना पाने के लिए तुरंत कॉल करें 8978464301।,No,No,yes
spam,Vi लकी ड्रॉ: आपने एक फ्री गिफ्ट हैम्पर जीता है! एक्सपायर होने से पहले अभी कॉल करें 6542651935।,No,No,yes
spam,आप Amazon Prime Video के एनिवर्सरी कॉन्टेस्ट के लकी विनर हैं। Rs.500 का प्राइज पाने के लिए अपनी बैंक विवरण साझा करें।,No,No,No
spam,CRED लकी ड्रॉ: आपने एक फ्री स्मार्टवॉच जीता है! एक्सपायर होने से पहले अभी कॉल करें 6716821558।,No,No,yes
spam,"Zomato फ्लैश सेल: सब कुछ 90% छूट, सिर्फ कुछ पीस बचे हैं! अभी ऑर्डर करने के लिए BUY रिप्लाई करें।",No,No,No
spam,बधाई हो! आपका Policybazaar खाता एक फ्री सोने का सिक्का (Rs.150) के लिए चुना गया है। अभी दावा करें: http://offer4u-claim.online/xkiyz,yes,No,No
spam,Disney+ Hotstar लकी ड्रॉ: आपने एक फ्री गिफ्ट हैम्पर जीता है! एक्सपायर होने से पहले अभी कॉल करें 9892185757।,No,No,yes
spam,"HDFC Bank कस्टमर सर्विस: आपका Rs.300 का रिफंड पेंडिंग है, दावा करने के लिए क्लिक करें: http://gift-redeem-now.co.in/eu89c",yes,No,No
