text,category,language,sub_category,source
Txn Rs.1389.00 on HDFC Bank Card <ACCT> at zeptonow.cf@axisbank by UPI <REF> on 27-08. Not You? Call 18002586161 or SMS BLOCK CC <ACCT> to 7308080808,TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Alert!! Non-payment of Pay Later dues will negatively impact your CIBIL score. Pay dues of Rs.2,496 here https://u.axio.ac/axo/mHdxfCrARWHorVM -axio",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Dear SBI User, your A/C ending <ACCT> has been temporarily locked due to 3 incorrect PIN attempts. Unlock instantly via YONO app or visit branch: https://www.onlinesbi.sbi",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"ICICI Bank: We noticed an unusual login attempt to your NetBanking from IP 103.21.24.1. If this was not you, block your access immediately by calling 18001080.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Axis Bank Alert: Card <ACCT> blocked on request. If not requested by you, call customer care 18604195555 immediately or SMS UNBLOCK to 5676782.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Dear Customer, INR 12,450.00 debited from A/C <ACCT> on 01-Sep-26 towards Amazon Pay. Bal: INR 34,210.50. If not done by you, report fraud at 18002586161.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Kotak Bank: International transaction of USD 45.00 enabled on Card <ACCT>. If not done by you, disable immediately via Kotak App or call 18602662666.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"PNB Alert: Your debit card <ACCT> has been blocked for online usage due to security reasons. To re-enable, visit PNB ONE app or call 18001802222.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Standard Chartered: High value txn alert of Rs. 85,000.00 on Card <ACCT>. If unauthorized, reply NO to <PHONE> or call 18003451000.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Bank of Baroda: Transaction of Rs 4,500 declined due to invalid CVV attempts on Debit Card <ACCT>. If not you, contact branch immediately.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Canara Bank Alert: Mobile banking registration initiated for A/C <ACCT>. If not done by you, call 18004250018 immediately to block access.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"IndusInd Bank: E-mandate of Rs 1,499 for NETFLIX is due on 05-Sep-26 from A/C <ACCT>. To cancel, visit indusnet.indusind.com.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"IDFC FIRST Bank: Payment of Rs 5,000 to Credit Card <ACCT> received with thanks. Available credit limit is Rs 1,45,000. Ref <REF>.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"RBL Bank: Alert! Your credit card <ACCT> outstanding balance is Rs. 18,240. Minimum amount due is Rs. 920. Pay by 12-Sep to avoid late fee.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Union Bank of India: Your UPI PIN has been changed successfully for A/C <ACCT>. If not done by you, call 1800222244 immediately.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Yes Bank Alert: Standing instruction for Home Loan EMI of Rs 32,500 from A/C <ACCT> executed on 01-Sep. Ref <REF>.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Federal Bank: FedMobile login detected on new device Samsung SM-S918B. If not you, block mobile banking immediately by calling 18004251199.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
Citibank Alert: Account statement for month of Aug-26 is ready. Download password protected PDF from online.citibank.co.in.,TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"HDFC Bank Card Alert: Auto-debit of Rs 2,499 for BillDesk failed due to insufficient funds in A/C <ACCT>. Maintain balance to avoid charges.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"SBI Card: Alert! Overlimit usage of Rs 3,450 on Card <ACCT>. Overlimit fee applicable. Pay online at sbicard.com to restore limit.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"HSBC India: Transaction of INR 42,000.00 attempted on HSBC Credit Card ending <ACCT>. If not initiated by you, call 18002663456 immediately.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Standard Chartered Bank: Security alert. Card <ACCT> used at POS Mumbai for Rs 14,200. If unauthorized, call 18003451000.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
Bank of India: Alert! Your NetBanking login password will expire in 5 days. Change password at www.bankofindia.co.in.,TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Indian Bank: High value transfer of Rs 2,00,000 via RTGS Ref <REF> initiated from A/C <ACCT>. If not you, call 180042500000.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
Punjab & Sind Bank: Online transaction on Debit Card <ACCT> blocked due to suspected risk. Contact branch to unblock.,TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
Txn Rs.1389.00 on HDFC Bank Card <ACCT> at zeptonow.cf@axisbank by UPI <REF> on 27-08. Not You? Call 18002586161 or SMS BLOCK CC <ACCT> to 7308080808,TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Alert!! Non-payment of Pay Later dues will negatively impact your CIBIL score. Pay dues of Rs.2,496 here https://u.axio.ac/axo/mHdxfCrARWHorVM -axio",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Dear SBI User, your A/C ending <ACCT> has been temporarily locked due to 3 incorrect PIN attempts. Unlock instantly via YONO app or visit branch: https://www.onlinesbi.sbi",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"ICICI Bank: We noticed an unusual login attempt to your NetBanking from IP 103.21.24.1. If this was not you, block your access immediately by calling 18001080.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Axis Bank Alert: Card <ACCT> blocked on request. If not requested by you, call customer care 18604195555 immediately or SMS UNBLOCK to 5676782.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Dear Customer, INR 12,450.00 debited from A/C <ACCT> on 01-Sep-26 towards Amazon Pay. Bal: INR 34,210.50. If not done by you, report fraud at 18002586161.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Kotak Bank: International transaction of USD 45.00 enabled on Card <ACCT>. If not done by you, disable immediately via Kotak App or call 18602662666.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"PNB Alert: Your debit card <ACCT> has been blocked for online usage due to security reasons. To re-enable, visit PNB ONE app or call 18001802222.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Standard Chartered: High value txn alert of Rs. 85,000.00 on Card <ACCT>. If unauthorized, reply NO to <PHONE> or call 18003451000.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Bank of Baroda: Transaction of Rs 4,500 declined due to invalid CVV attempts on Debit Card <ACCT>. If not you, contact branch immediately.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
"Canara Bank Alert: Mobile banking registration initiated for A/C <ACCT>. If not done by you, call 18004250018 immediately to block access.",TRANSACTIONAL,en,BANK_SECURITY,verified_enterprise_dlt_hard_negatives
