LABEL,TEXT,URL,EMAIL,PHONE
spam,Members get early access to our 10% off sale starting today.,No,No,No
spam,Try our new menu and get a free dessert with code KLJB21.,No,No,No
spam,Members get early access to our 20% off sale starting today.,No,No,No
spam,New arrivals are here! Shop the latest collection and save 30% today.,No,No,No
spam,Try our new menu and get a free dessert with code FGEJ52.,No,No,No
spam,Enjoy 50% off on all orders above Rs.99 this weekend only.,No,No,No
spam,"Enjoy 30% off on all orders above Rs.1,499 this weekend only.",No,No,No
spam,Members get early access to our 40% off sale starting today.,No,No,No
spam,New arrivals are here! Shop the latest collection and save 50% today.,No,No,No
spam,New arrivals are here! Shop the latest collection and save 10% today.,No,No,No
spam,Refer a friend and both of you get Rs.299 off your next purchase.,No,No,No
spam,"Get flat 10% cashback on your first order using code XDZY29 at checkout, valid till midnight.",No,No,No
spam,Members get early access to our 15% off sale starting today.,No,No,No
spam,"Shop the sale before it ends, extra 40% off with code EJGU44.",No,No,No
spam,"Subscribe now and get your first month free, cancel anytime.",No,No,No
spam,"Get flat 30% cashback on your first order using code PXKS83 at checkout, valid till midnight.",No,No,No
spam,Members get early access to our 25% off sale starting today.,No,No,No
spam,Enjoy 25% off on all orders above Rs.499 this weekend only.,No,No,No
spam,Your favorite store just dropped a new sale. Use code SPUY84 for 10% off.,No,No,No
spam,Upgrade your plan today and enjoy 40% off for 3 months.,No,No,No
spam,Upgrade your plan today and enjoy 10% off for 3 months.,No,No,No
spam,Refer a friend and both of you get Rs.999 off your next purchase.,No,No,No
spam,Try our new menu and get a free dessert with code BMCR98.,No,No,No
spam,"Get flat 10% cashback on your first order using code DFBS88 at checkout, valid till midnight.",No,No,No
spam,"Get flat 30% cashback on your first order using code KECU84 at checkout, valid till midnight.",No,No,No
spam,New arrivals are here! Shop the latest collection and save 20% today.,No,No,No
spam,Enjoy 25% off on all orders above Rs.199 this weekend only.,No,No,No
spam,"Shop the sale before it ends, extra 10% off with code JHQL40.",No,No,No
spam,Your favorite store just dropped a new sale. Use code PWKU16 for 10% off.,No,No,No
spam,Refer a friend and both of you get Rs.199 off your next purchase.,No,No,No
spam,Upgrade your plan today and enjoy 50% off for 3 months.,No,No,No
spam,Your favorite store just dropped a new sale. Use code QVVS13 for 10% off.,No,No,No
spam,Enjoy 40% off on all orders above Rs.99 this weekend only.,No,No,No
spam,"Refer a friend and both of you get Rs.1,499 off your next purchase.",No,No,No
spam,"Get flat 50% cashback on your first order using code OBCS46 at checkout, valid till midnight.",No,No,No
spam,"Shop the sale before it ends, extra 25% off with code AWVO44.",No,No,No
spam,Your favorite store just dropped a new sale. Use code URDB25 for 10% off.,No,No,No
spam,"Enjoy 10% off on all orders above Rs.1,499 this weekend only.",No,No,No
spam,Upgrade your plan today and enjoy 30% off for 3 months.,No,No,No
spam,New arrivals are here! Shop the latest collection and save 25% today.,No,No,No
spam,Upgrade your plan today and enjoy 20% off for 3 months.,No,No,No
spam,"Get flat 10% cashback on your first order using code OUKD75 at checkout, valid till midnight.",No,No,No
spam,Your favorite store just dropped a new sale. Use code BRXF11 for 15% off.,No,No,No
spam,Try our new menu and get a free dessert with code YVKT94.,No,No,No
spam,"Shop the sale before it ends, extra 15% off with code SYUU27.",No,No,No
spam,Enjoy 50% off on all orders above Rs.299 this weekend only.,No,No,No
spam,New arrivals are here! Shop the latest collection and save 40% today.,No,No,No
spam,New arrivals are here! Shop the latest collection and save 15% today.,No,No,No
spam,Your favorite store just dropped a new sale. Use code YLLB44 for 10% off.,No,No,No
spam,Try our new menu and get a free dessert with code WZRS16.,No,No,No
spam,Try our new menu and get a free dessert with code ECJL38.,No,No,No
spam,"Shop the sale before it ends, extra 40% off with code OXBG64.",No,No,No
spam,Enjoy 10% off on all orders above Rs.199 this weekend only.,No,No,No
spam,Enjoy 10% off on all orders above Rs.299 this weekend only.,No,No,No
spam,"Get flat 15% cashback on your first order using code VULY22 at checkout, valid till midnight.",No,No,No
spam,Try our new menu and get a free dessert with code DYHV55.,No,No,No
spam,"Shop the sale before it ends, extra 25% off with code XZOT11.",No,No,No
spam,Try our new menu and get a free dessert with code XHKK72.,No,No,No
spam,"Get flat 15% cashback on your first order using code PVPL60 at checkout, valid till midnight.",No,No,No
spam,Your favorite store just dropped a new sale. Use code DMNN91 for 15% off.,No,No,No
spam,Your favorite store just dropped a new sale. Use code ILXQ93 for 10% off.,No,No,No
spam,"Get flat 10% cashback on your first order using code GYSL89 at checkout, valid till midnight.",No,No,No
spam,"Get flat 25% cashback on your first order using code AUDY47 at checkout, valid till midnight.",No,No,No
spam,Enjoy 20% off on all orders above Rs.199 this weekend only.,No,No,No
spam,Enjoy 50% off on all orders above Rs.999 this weekend only.,No,No,No
spam,Try our new menu and get a free dessert with code WUZY89.,No,No,No
spam,Members get early access to our 50% off sale starting today.,No,No,No
spam,Your favorite store just dropped a new sale. Use code SRWK58 for 30% off.,No,No,No
spam,"Shop the sale before it ends, extra 25% off with code JZZJ17.",No,No,No
spam,Refer a friend and both of you get Rs.499 off your next purchase.,No,No,No
spam,Try our new menu and get a free dessert with code IMYA84.,No,No,No
spam,"Get flat 20% cashback on your first order using code EJCK73 at checkout, valid till midnight.",No,No,No
spam,"Shop the sale before it ends, extra 10% off with code PAMQ12.",No,No,No
spam,Enjoy 15% off on all orders above Rs.999 this weekend only.,No,No,No
spam,"Shop the sale before it ends, extra 10% off with code DNAF50.",No,No,No
spam,Enjoy 25% off on all orders above Rs.99 this weekend only.,No,No,No
spam,Try our new menu and get a free dessert with code VNUK99.,No,No,No
spam,"Shop the sale before it ends, extra 50% off with code YLNG43.",No,No,No
spam,Try our new menu and get a free dessert with code GECT38.,No,No,No
spam,Your favorite store just dropped a new sale. Use code FTRR69 for 50% off.,No,No,No
spam,Refer a friend and both of you get Rs.99 off your next purchase.,No,No,No
spam,Try our new menu and get a free dessert with code WXRV74.,No,No,No
spam,Your favorite store just dropped a new sale. Use code FNFM70 for 15% off.,No,No,No
spam,"Get flat 15% cashback on your first order using code BBUH63 at checkout, valid till midnight.",No,No,No
spam,"Get flat 50% cashback on your first order using code AUOD67 at checkout, valid till midnight.",No,No,No
spam,"Shop the sale before it ends, extra 15% off with code FRZA33.",No,No,No
spam,"Get flat 30% cashback on your first order using code PNQY10 at checkout, valid till midnight.",No,No,No
spam,Try our new menu and get a free dessert with code KOJG28.,No,No,No
spam,Enjoy 30% off on all orders above Rs.999 this weekend only.,No,No,No
spam,"Get flat 15% cashback on your first order using code SXRH47 at checkout, valid till midnight.",No,No,No
spam,Enjoy 10% off on all orders above Rs.999 this weekend only.,No,No,No
spam,Enjoy 30% off on all orders above Rs.299 this weekend only.,No,No,No
spam,"Get flat 50% cashback on your first order using code UJHE81 at checkout, valid till midnight.",No,No,No
spam,Try our new menu and get a free dessert with code LTGL39.,No,No,No
spam,"Shop the sale before it ends, extra 15% off with code PNIB20.",No,No,No
spam,"Get flat 10% cashback on your first order using code BBNN98 at checkout, valid till midnight.",No,No,No
spam,Your favorite store just dropped a new sale. Use code QCBG96 for 40% off.,No,No,No
spam,"Get flat 50% cashback on your first order using code COZW51 at checkout, valid till midnight.",No,No,No
spam,Enjoy 50% off on all orders above Rs.199 this weekend only.,No,No,No
spam,Enjoy 20% off on all orders above Rs.299 this weekend only.,No,No,No
spam,Upgrade your plan today and enjoy 25% off for 3 months.,No,No,No
spam,Try our new menu and get a free dessert with code OBCH52.,No,No,No
spam,Your favorite store just dropped a new sale. Use code NPBI15 for 25% off.,No,No,No
spam,Try our new menu and get a free dessert with code RVXJ75.,No,No,No
spam,Your favorite store just dropped a new sale. Use code AUGK76 for 40% off.,No,No,No
spam,Try our new menu and get a free dessert with code RLED87.,No,No,No
spam,Try our new menu and get a free dessert with code WEPR32.,No,No,No
spam,"Get flat 10% cashback on your first order using code ZNUF43 at checkout, valid till midnight.",No,No,No
spam,Your favorite store just dropped a new sale. Use code YUBH68 for 15% off.,No,No,No
spam,"Shop the sale before it ends, extra 10% off with code JGIE83.",No,No,No
spam,Try our new menu and get a free dessert with code UBFG49.,No,No,No
spam,"Shop the sale before it ends, extra 15% off with code ATBE82.",No,No,No
spam,Try our new menu and get a free dessert with code UYOG48.,No,No,No
spam,Try our new menu and get a free dessert with code YCGP51.,No,No,No
spam,Try our new menu and get a free dessert with code HSZK22.,No,No,No
spam,Your favorite store just dropped a new sale. Use code IBLO68 for 25% off.,No,No,No
spam,Try our new menu and get a free dessert with code NXNP53.,No,No,No
spam,"Get flat 30% cashback on your first order using code ENOI97 at checkout, valid till midnight.",No,No,No
spam,"Get flat 25% cashback on your first order using code XNDY95 at checkout, valid till midnight.",No,No,No
spam,"Shop the sale before it ends, extra 15% off with code OEPJ41.",No,No,No
spam,Your favorite store just dropped a new sale. Use code APII52 for 40% off.,No,No,No
spam,"Get flat 15% cashback on your first order using code SRTX97 at checkout, valid till midnight.",No,No,No
spam,Try our new menu and get a free dessert with code WPTT85.,No,No,No
spam,"Shop the sale before it ends, extra 15% off with code GJDK65.",No,No,No
spam,Your favorite store just dropped a new sale. Use code ZHUX79 for 10% off.,No,No,No
spam,Your favorite store just dropped a new sale. Use code ZJJA80 for 30% off.,No,No,No
spam,Try our new menu and get a free dessert with code EVMC51.,No,No,No
spam,Your favorite store just dropped a new sale. Use code PXHB71 for 50% off.,No,No,No
spam,"Get flat 15% cashback on your first order using code HUDG54 at checkout, valid till midnight.",No,No,No
spam,"Get flat 25% cashback on your first order using code VYUZ36 at checkout, valid till midnight.",No,No,No
spam,Try our new menu and get a free dessert with code MNQZ87.,No,No,No
spam,"Shop the sale before it ends, extra 20% off with code CYXV58.",No,No,No
spam,"Shop the sale before it ends, extra 15% off with code IOUK51.",No,No,No
spam,"Get flat 15% cashback on your first order using code RROQ95 at checkout, valid till midnight.",No,No,No
spam,Your favorite store just dropped a new sale. Use code PRAN74 for 15% off.,No,No,No
spam,Try our new menu and get a free dessert with code RQYD76.,No,No,No
spam,Members get early access to our 30% off sale starting today.,No,No,No
spam,Try our new menu and get a free dessert with code JZXS63.,No,No,No
spam,"Get flat 10% cashback on your first order using code GBMP59 at checkout, valid till midnight.",No,No,No
spam,Your favorite store just dropped a new sale. Use code LBUK68 for 15% off.,No,No,No
spam,"Get flat 25% cashback on your first order using code AQBC97 at checkout, valid till midnight.",No,No,No
spam,Try our new menu and get a free dessert with code SZIU71.,No,No,No
spam,Try our new menu and get a free dessert with code GLFK71.,No,No,No
spam,"Shop the sale before it ends, extra 50% off with code XOMW36.",No,No,No
spam,Try our new menu and get a free dessert with code MQRR93.,No,No,No
spam,Your favorite store just dropped a new sale. Use code HDFW24 for 15% off.,No,No,No
spam,"Get flat 40% cashback on your first order using code AGEN36 at checkout, valid till midnight.",No,No,No
spam,"Get flat 10% cashback on your first order using code OWMC95 at checkout, valid till midnight.",No,No,No
spam,Enjoy 15% off on all orders above Rs.299 this weekend only.,No,No,No
spam,"Shop the sale before it ends, extra 15% off with code VELS41.",No,No,No
spam,"Shop the sale before it ends, extra 15% off with code OLUQ54.",No,No,No
spam,Try our new menu and get a free dessert with code QSFX60.,No,No,No
spam,"Get flat 40% cashback on your first order using code ILKC72 at checkout, valid till midnight.",No,No,No
spam,"Enjoy 15% off on all orders above Rs.1,499 this weekend only.",No,No,No
spam,Your favorite store just dropped a new sale. Use code IICC86 for 10% off.,No,No,No
