LABEL,TEXT,URL,EMAIL,PHONE,LABEL_3WAY,is_synthetic,source,clean_text,char_len,word_count,digit_ratio,exclaim_count,special_ratio,has_url,has_phone,currency_count,urgency_count,sensitive_info_count,refund_scam_count,label_id
Smishing,"Aapka FedEx parcel customs fee Rs.97,804 bakaya hone ki wajah se hold par hai. Abhi pay karein: http://cutt.ly/w54ND9w",,,,SMISHING,True,Synthetic_Hinglish.csv,"aapka fedex parcel customs fee rs.97,804 bakaya hone ki wajah se hold par hai. abhi pay karein: cutt ly w54nd9w",118.0,20.0,0.06779661016949153,0.0,0.07627118644067797,1.0,0.0,1.0,0.0,0.0,0.0,2
ham,"Your electricity bill of Rs.1,975 for April has been paid successfully. Thank you.",,,,HAM,True,Synthetic_English.csv,"your electricity bill of rs.1,975 for april has been paid successfully. thank you.",82.0,13.0,0.04878048780487805,0.0,0.04878048780487805,0.0,0.0,1.0,0.0,0.0,0.0,0
ham,तुमचे Xpressbees पार्सल (ट्रॅकिंग आयडी 8324649925) आज 8:51 AM वाजता डिलिव्हर झाले आहे. धन्यवाद.,,,,HAM,True,Synthetic_Marathi.csv,तुमचे xpressbees पार्सल (ट्रॅकिंग आयडी phonenumber ) आज 8:51 am वाजता डिलिव्हर झाले आहे. धन्यवाद.,95.0,15.0,0.1368421052631579,0.0,0.25263157894736843,0.0,1.0,0.0,0.0,0.0,0.0,0
Smishing,IndusInd Bank Alert: Unusual login detected on your account. Secure it now: http://cutt.ly/5BC4GpG,,,,SMISHING,True,Synthetic_English.csv,indusind bank alert: unusual login detected on your account. secure it now: cutt ly 5bc4gpg,98.0,15.0,0.02040816326530612,0.0,0.08163265306122448,1.0,0.0,0.0,0.0,0.0,0.0,2
spam,Apna debt aaj hi khatam karein! Kam interest rate par loans consolidate karein. Call karein +916711731326.,,,,MARKETING_SPAM,True,Synthetic_Hinglish.csv,apna debt aaj hi khatam karein! kam interest rate par loans consolidate karein. call karein phonenumber .,106.0,17.0,0.11320754716981132,1.0,0.03773584905660377,0.0,1.0,0.0,0.0,0.0,0.0,1
ham,Your Mobikwik wallet has been credited with Rs.195 cashback. Enjoy your rewards!,,,,HAM,True,Synthetic_English.csv,your mobikwik wallet has been credited with rs.195 cashback. enjoy your rewards!,80.0,12.0,0.0375,1.0,0.0375,0.0,0.0,1.0,0.0,0.0,0.0,0
Smishing,अंतिम सूचना: प्रलंबित व्हेरिफिकेशनमुळे तुमचे Punjab National Bank खाते निलंबित केले जाईल. क्लिक करा: http://cutt.ly/2TGnqry,,,,SMISHING,True,Synthetic_Marathi.csv,अंतिम सूचना: प्रलंबित व्हेरिफिकेशनमुळे तुमचे punjab national bank खाते निलंबित केले जाईल. क्लिक करा: cutt ly 2tgnqry,123.0,17.0,0.008130081300813009,0.0,0.2845528455284553,1.0,0.0,0.0,2.0,0.0,0.0,2
ham,"अरे अंजली, आपण आज 11:37 AM वाजता जेवणासाठी भेटतोय का?",,,,HAM,True,Synthetic_Marathi.csv,"अरे अंजली, आपण आज 11:37 am वाजता जेवणासाठी भेटतोय का?",53.0,10.0,0.07547169811320754,0.0,0.2830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,0
ham,पार्क 11-08-2025 से 26-11-2026 तक नवीनीकरण के लिए बंद रहेगा।,,,,HAM,True,Synthetic_Extra_Ham_Hindi.csv,पार्क phonenumber से phonenumber तक नवीनीकरण के लिए बंद रहेगा।,60.0,10.0,0.26666666666666666,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0
ham,"Your DTH bill payment of Rs.2,710 was successful this month, thank you.",,,,HAM,True,Synthetic_Fraud2_Ham_English.csv,"your dth bill payment of rs.2,710 was successful this month, thank you.",71.0,12.0,0.056338028169014086,0.0,0.056338028169014086,0.0,0.0,1.0,0.0,0.0,0.0,0
