LABEL,TEXT,URL,EMAIL,PHONE
spam,आपकी पुरस्कार राशि तभी जारी होगी जब आप मोबाइल पर मिला 6-अंकों का कोड साझा करेंगे।,No,No,No
spam,"आपकी पानी की सेवा कल से बंद कर दी जाएगी, आपके मीटर में बकाया राशि पाई गई है।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.6,344 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"PM Awas Yojana: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"आपकी पहचान सत्यापित करनी है, कृपया कॉल पर हमारे सपोर्ट एजेंट को OTP बताएं।",No,No,No
spam,"आपका बिजली कनेक्शन आज शाम बंद कर दिया जाएगा, हमारे सिस्टम में भुगतान न होने का रिकॉर्ड है।",No,No,No
spam,"PM Kisan Samman Nidhi: लाभार्थी स्थिति की पुष्टि के लिए, पंजीकृत नंबर पर आया OTP हमारी हेल्पलाइन को साझा करें।",No,No,No
spam,आपकी गैस सिलेंडर सब्सिडी राशि तभी क्रेडिट होगी जब आप सत्यापन के लिए भेजा गया OTP साझा करेंगे।,No,No,No
spam,"आपका रिफंड अटका हुआ है, प्रक्रिया पूरी करने के लिए फोन पर आया वेरिफिकेशन कोड साझा करें।",No,No,No
spam,"Post Matric Scholarship: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"आपका DTH रिचार्ज वेरिफिकेशन फेल हो गया, 1 घंटे में सत्यापित न करने पर कनेक्शन काट दिया जाएगा।",No,No,No
spam,"PMAY: लाभार्थी स्थिति की पुष्टि के लिए, पंजीकृत नंबर पर आया OTP हमारी हेल्पलाइन को साझा करें।",No,No,No
spam,"Ration Card Portal: लाभार्थी स्थिति की पुष्टि के लिए, पंजीकृत नंबर पर आया OTP हमारी हेल्पलाइन को साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.5,249 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"PM Ujjwala Yojana: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"PM Fasal Bima Yojana: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"LPG Subsidy Scheme: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"National Scholarship Portal: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"Ayushman Bharat: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"PM Ujjwala Yojana: लाभार्थी स्थिति की पुष्टि के लिए, पंजीकृत नंबर पर आया OTP हमारी हेल्पलाइन को साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.951 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.608 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.439 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"Ration Card Portal: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"PM Fasal Bima Yojana: लाभार्थी स्थिति की पुष्टि के लिए, पंजीकृत नंबर पर आया OTP हमारी हेल्पलाइन को साझा करें।",No,No,No
spam,"National Scholarship Portal: लाभार्थी स्थिति की पुष्टि के लिए, पंजीकृत नंबर पर आया OTP हमारी हेल्पलाइन को साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.657 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.109 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.3,904 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"PMAY: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"EPFO: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.488 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"PM Awas Yojana: लाभार्थी स्थिति की पुष्टि के लिए, पंजीकृत नंबर पर आया OTP हमारी हेल्पलाइन को साझा करें।",No,No,No
spam,"PM Kisan Samman Nidhi: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.938 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"LPG Subsidy Scheme: लाभार्थी स्थिति की पुष्टि के लिए, पंजीकृत नंबर पर आया OTP हमारी हेल्पलाइन को साझा करें।",No,No,No
spam,"Post Matric Scholarship: लाभार्थी स्थिति की पुष्टि के लिए, पंजीकृत नंबर पर आया OTP हमारी हेल्पलाइन को साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.400 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"Ayushman Bharat: लाभार्थी स्थिति की पुष्टि के लिए, पंजीकृत नंबर पर आया OTP हमारी हेल्पलाइन को साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.602 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.380 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.1,158 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"State Scholarship Scheme: आपका आवेदन होल्ड पर है, आगे बढ़ने के लिए अपनी बैंक पासबुक फोटो भेजें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.235 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.1,310 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.1,343 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.3,268 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.164 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
spam,"आपका पेंडिंग कैशबैक Rs.786 रिलीज़ करने के लिए, कृपया अभी मिला OTP हमारे एक्जीक्यूटिव के साथ साझा करें।",No,No,No
