LABEL,TEXT,URL,EMAIL,PHONE
spam,Congratulations! Your boAt account is selected for a free gold coin worth Rs.150. Claim now: http://reward-claim24.xyz/gfdre,yes,No,No
spam,Netflix Lucky Draw: You've won a free gift hamper! Call 6642008409 now to claim before it expires.,No,No,yes
spam,Congratulations! Your IRCTC account is selected for a free smartphone worth Rs.50. Claim now: http://lucky-winner-alert.co/dmkq8,yes,No,No
spam,"Swiggy customer service: your refund of Rs.500 is pending, click to claim: http://lucky-winner-alert.co/zb04o",yes,No,No
spam,Amazon Prime Video is giving away free shopping voucher to 100 lucky customers today. Call 9437270457 immediately to grab yours.,No,No,yes
spam,You are the lucky winner of Titan's anniversary contest. Share your bank details to receive your Rs.500 prize.,No,No,No
spam,MakeMyTrip Lucky Draw: You've won a free shopping voucher! Call 8810348618 now to claim before it expires.,No,No,yes
spam,Congratulations! Your BigBasket account is selected for a free gold coin worth Rs.100. Claim now: http://bonus-cashout.xyz/bwxny,yes,No,No
spam,"Lenskart customer service: your refund of Rs.150 is pending, click to claim: http://gift-redeem-now.co.in/sajy4",yes,No,No
spam,Congratulations! Your BookMyShow account is selected for a free smartphone worth Rs.50. Claim now: http://gift-redeem-now.co.in/fqu2r,yes,No,No
spam,"Ola customer service: your refund of Rs.250 is pending, click to claim: http://lucky-winner-alert.co/vjccp",yes,No,No
spam,"CRED customer service: your refund of Rs.300 is pending, click to claim: http://gift-redeem-now.co.in/a8rtn",yes,No,No
spam,"Disney+ Hotstar customer service: your refund of Rs.200 is pending, click to claim: http://prize-verify.info/4cv76",yes,No,No
spam,You are the lucky winner of Jio's anniversary contest. Share your bank details to receive your Rs.300 prize.,No,No,No
spam,BYJU'S Lucky Draw: You've won a free shopping voucher! Call 8883379467 now to claim before it expires.,No,No,yes
spam,"Ola Flash Sale: 90% off everything, only a few pieces left! Reply BUY to order now, limited stock.",No,No,No
spam,cult.fit Lucky Draw: You've won a free smartwatch! Call 9597160794 now to claim before it expires.,No,No,yes
spam,Zomato Lucky Draw: You've won a free gift hamper! Call 9233144388 now to claim before it expires.,No,No,yes
spam,Congratulations! Your BYJU'S account is selected for a free shopping voucher worth Rs.100. Claim now: http://lucky-winner-alert.co/jx1j9,yes,No,No
spam,redBus Lucky Draw: You've won a free gold coin! Call 7230754238 now to claim before it expires.,No,No,yes
spam,You are the lucky winner of IRCTC's anniversary contest. Share your bank details to receive your Rs.200 prize.,No,No,No
spam,"ICICI Bank customer service: your refund of Rs.150 is pending, click to claim: http://gift-redeem-now.co.in/rquai",yes,No,No
spam,Blinkit is giving away free smartwatch to 100 lucky customers today. Call 8697624502 immediately to grab yours.,No,No,yes
spam,"Domino's customer service: your refund of Rs.300 is pending, click to claim: http://bonus-cashout.xyz/29jbm",yes,No,No
spam,Zepto is giving away free smartphone to 100 lucky customers today. Call 9424848357 immediately to grab yours.,No,No,yes
spam,PhonePe Lucky Draw: You've won a free smartphone! Call 7353746924 now to claim before it expires.,No,No,yes
spam,You are the lucky winner of Axis Bank's anniversary contest. Share your bank details to receive your Rs.50 prize.,No,No,No
spam,HDFC Bank is giving away free gift hamper to 100 lucky customers today. Call 9539838999 immediately to grab yours.,No,No,yes
spam,IndiGo is giving away free gold coin to 100 lucky customers today. Call 6078175340 immediately to grab yours.,No,No,yes
spam,Goibibo Lucky Draw: You've won a free gift hamper! Call 9817202332 now to claim before it expires.,No,No,yes
spam,IRCTC is giving away free smartphone to 100 lucky customers today. Call 9551344012 immediately to grab yours.,No,No,yes
spam,IndiGo Lucky Draw: You've won a free smartwatch! Call 9071648252 now to claim before it expires.,No,No,yes
spam,"boAt Flash Sale: 90% off everything, only a few pieces left! Reply BUY to order now, limited stock.",No,No,No
spam,Unacademy Lucky Draw: You've won a free smartwatch! Call 9940534352 now to claim before it expires.,No,No,yes
spam,Congratulations! Your BookMyShow account is selected for a free gold coin worth Rs.200. Claim now: http://reward-claim24.xyz/fbtkt,yes,No,No
spam,BYJU'S Lucky Draw: You've won a free shopping voucher! Call 6466568992 now to claim before it expires.,No,No,yes
spam,Vi Lucky Draw: You've won a free gold coin! Call 8306403093 now to claim before it expires.,No,No,yes
spam,"BYJU'S customer service: your refund of Rs.100 is pending, click to claim: http://offer4u-claim.online/hvjvj",yes,No,No
spam,"Flipkart customer service: your refund of Rs.500 is pending, click to claim: http://prize-verify.info/1g7si",yes,No,No
spam,"Amazon Prime Video Flash Sale: 90% off everything, only a few pieces left! Reply BUY to order now, limited stock.",No,No,No
spam,Domino's is giving away free gift hamper to 100 lucky customers today. Call 6963713552 immediately to grab yours.,No,No,yes
spam,"Swiggy customer service: your refund of Rs.150 is pending, click to claim: http://gift-redeem-now.co.in/ioix7",yes,No,No
spam,Zomato is giving away free smartphone to 100 lucky customers today. Call 7901988935 immediately to grab yours.,No,No,yes
spam,"Titan Flash Sale: 90% off everything, only a few pieces left! Reply BUY to order now, limited stock.",No,No,No
spam,You are the lucky winner of Policybazaar's anniversary contest. Share your bank details to receive your Rs.250 prize.,No,No,No
spam,"BigBasket customer service: your refund of Rs.200 is pending, click to claim: http://lucky-winner-alert.co/es7rb",yes,No,No
spam,Decathlon is giving away free gift hamper to 100 lucky customers today. Call 6076079302 immediately to grab yours.,No,No,yes
spam,"Tanishq customer service: your refund of Rs.150 is pending, click to claim: http://reward-claim24.xyz/qs21q",yes,No,No
spam,Policybazaar Lucky Draw: You've won a free smartphone! Call 8582012217 now to claim before it expires.,No,No,yes
spam,Zepto Lucky Draw: You've won a free gift hamper! Call 8152469953 now to claim before it expires.,No,No,yes
spam,"Paytm Flash Sale: 90% off everything, only a few pieces left! Reply BUY to order now, limited stock.",No,No,No
spam,Netflix is giving away free gold coin to 100 lucky customers today. Call 6079213893 immediately to grab yours.,No,No,yes
spam,"Pepperfry Flash Sale: 90% off everything, only a few pieces left! Reply BUY to order now, limited stock.",No,No,No
spam,"MakeMyTrip customer service: your refund of Rs.500 is pending, click to claim: http://offer4u-claim.online/z81av",yes,No,No
spam,You are the lucky winner of Airtel's anniversary contest. Share your bank details to receive your Rs.250 prize.,No,No,No
spam,ICICI Bank is giving away free gift hamper to 100 lucky customers today. Call 9363803651 immediately to grab yours.,No,No,yes
spam,"MakeMyTrip customer service: your refund of Rs.50 is pending, click to claim: http://offer4u-claim.online/2o874",yes,No,No
