source,text,category,is_synthetic,clean_text,label_id,char_len,word_count,digit_ratio,exclaim_count,special_ratio,has_url,has_phone,currency_count,urgency_count,sensitive_info_count,refund_scam_count
Dataset_5971,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",personal,False,"sorry vikky, i'm watching olave mandara movie kano in trishul theatre wit my frnds..",0,84.0,14.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",personal,False,"i know dat feelin had it with pete! wuld get with em , nuther place nuther time mayb?",0,85.0,18.0,0.0,1.0,0.03529411764705882,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,But if she.s drinkin i'm ok.,personal,False,but if she.s drinkin i'm ok.,0,28.0,6.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",personal,False,"rose needs water, season needs change, poet needs imagination my phone needs ur sms and i need ur lovely frndship forever....",0,126.0,21.0,0.0,0.0,0.06349206349206349,1.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",personal,False,"i'm tired of arguing with you about this week after week. do what you want and from now on, i'll do the same.",0,109.0,23.0,0.0,0.0,0.045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,Now GET RID OF -Cockroach -Termite -Bedbug -Rats -Any Pest 4Best DEALS in PestControlServices/ Chemical/Herbal/Odorless DIAL-N-ASK 080-62222222,promotional,False,now get rid of -cockroach -termite -bedbug -rats -any pest 4best deals in pestcontrolservices/ chemical/herbal/odorless dial-n-ask phonenumber,2,143.0,17.0,0.08391608391608392,0.0,0.07692307692307693,0.0,1.0,0.0,0.0,0.0,0.0
Dataset_5971,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",personal,False,"ups which is 3days also, and the shipping company that takes 2wks. the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",0,179.0,37.0,0.0111731843575419,0.0,0.01675977653631285,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,personal,False,no sir. that's why i had an 8-hr trip on the bus last week. have another audition next wednesday but i think i might drive this time.,0,133.0,27.0,0.007518796992481203,0.0,0.03759398496240601,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,personal,False,one of the joys in lifeis waking up each daywith thoughts that somewheresomeone cares enough tosend a warm morning greeting.. -,0,127.0,21.0,0.0,0.0,0.023622047244094488,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,personal,False,yup... ok i go home look at the timings then i msg ü again... xuhui going to learn on 2nd may too but her lesson is at 8am,0,122.0,28.0,0.01639344262295082,0.0,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,"Yep, at derek's house now, see you Sunday &lt;3",personal,False,"yep, at derek's house now, see you sunday &lt;3",0,47.0,9.0,0.02127659574468085,0.0,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,"How long before you get reply, just defer admission til next semester",personal,False,"how long before you get reply, just defer admission til next semester",0,69.0,12.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",transactional,False,"oh! shit, i thought that was your trip! loooooool ... that just makes so much more sense now ... *grins* and the sofa reference was ... the ""sleep on a couch"" link you sent me ... wasn't that how you went on your trip ? oh ... and didn't your babe go with you for that celebration with your rents?",1,297.0,60.0,0.0,2.0,0.08754208754208755,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,promotional,False,you will be receiving this week's triple echo ringtone shortly. enjoy it!,2,73.0,12.0,0.0,1.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,Booked ticket for pongal?,transactional,False,booked ticket for pongal?,1,25.0,4.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,No probably  &lt;#&gt; %.,personal,False,no probably &lt;#&gt; %.,0,25.0,4.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",promotional,False,"dear voucher holder, 2 claim this weeks offer, at your pc go to e tlp co uk expressoffer ts&cs apply.2 stop texts txt stop to 80062.",2,143.0,26.0,0.04895104895104895,0.0,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,Oh ok..,personal,False,oh ok..,0,7.0,2.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,Thanks love. But am i doing torch or bold.,personal,False,thanks love. but am i doing torch or bold.,0,42.0,9.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04,transactional,False,private! your 2003 account statement for phonenumber shows 800 un-redeemed s.i.m. points. call phonenumber identifier code 41782 expires 18/11/04,1,145.0,19.0,0.27586206896551724,1.0,0.05517241379310345,0.0,1.0,0.0,0.0,0.0,0.0
Dataset_5971,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,personal,False,can i meet ü at 5.. as 4 where depends on where ü wan 2 in lor..,0,64.0,17.0,0.046875,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,personal,False,ur going 2 bahamas! callfreefone phonenumber and speak to a live operator to claim either bahamas cruise of£2000 cash 18+only. to opt out txt x to phonenumber,0,158.0,27.0,0.18354430379746836,1.0,0.02531645569620253,0.0,1.0,0.0,0.0,0.0,0.0
Dataset_5971,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,personal,False,u coming back 4 dinner rite? dad ask me so i re confirm wif u...,0,64.0,15.0,0.015625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN,personal,False,hiya stu wot u up 2 im in so much truble at home at moment evone hates me even u! wot the hell av i done now? y wont u just tell me text bck please luv dan,0,155.0,38.0,0.0064516129032258064,1.0,0.01935483870967742,1.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,personal,False,i want to tell you how bad i feel that basically the only times i text you lately are when i need drugs,0,103.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_sms_data,"Congratulations!
Your Bajaj Finserv Insta EMI Card offer has been revised, check now https://m.bflcomm.in/BAJAJF/rx0tU9 & shop on Easy EMI.",promotional,False,"congratulations! your bajaj finserv insta emi card offer has been revised, check now m bflcomm in bajajf rx0tu9 & shop on easy emi.",2,139.0,23.0,0.014388489208633094,1.0,0.07913669064748201,1.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,What happen to her tell the truth,personal,False,what happen to her tell the truth,0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,Speak only when you feel your words are better than the silence... Gud mrng:-),personal,False,speak only when you feel your words are better than the silence... gud mrng:-),0,78.0,14.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! ",personal,False,"my parents, my kidz, my friends n my colleagues. all screaming.. surprise !!",0,77.0,13.0,0.0,2.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,You should change your fb to jaykwon thuglyfe falconerf,personal,False,you should change your fb to jaykwon thuglyfe falconerf,0,55.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,Jay's getting really impatient and belligerent,personal,False,jay's getting really impatient and belligerent,0,46.0,6.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,K. Did you call me just now ah?,personal,False,k. did you call me just now ah?,0,31.0,8.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0
Dataset_5971,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP,personal,False,you have won a guaranteed £200 award or even £1000 cashto claim ur award call free on phonenumber (18+) 2 stop getstop on 88333 php,0,131.0,25.0,0.1984732824427481,0.0,0.03816793893129771,0.0,1.0,0.0,0.0,0.0,0.0
Dataset_5971,But i dint slept in afternoon.,personal,False,but i dint slept in afternoon.,0,30.0,6.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
