LABEL,TEXT,URL,EMAIL,PHONE
Smishing,"Badhai ho! Aapka mobile number Meesho lucky draw mein Rs.110,562 jeet chuka hai. Abhi claim karein: http://kyc-verify-secure.info/ql1u9",yes,No,No
Smishing,"Priya customer, apni annual bank locker KYC complete karein warna woh seal ho jayega: http://tinyurl.com/Jp3mxEY",yes,No,No
spam,Chennai ke liye apni dream vacation book karein bemisaal prices par. Packages ke liye call karein +916595025540.,No,No,yes
ham,"Aapka BSNL bill payment Rs.919,055 ka successful hua hai. Dhanyavad.",No,No,No
ham,"Aapka Vi bill payment Rs.975,810 ka successful hua hai. Dhanyavad.",No,No,No
spam,"Sirf Rs.863,122/month mein exclusive insurance plan. Apni family ko protect karein. Call karein +918811893142.",No,No,yes
spam,"Badhai ho! Aap Rs.59,780 ke pre-approved loan ke liye qualify karte hain. Abhi APPLY reply karein.",No,No,No
Smishing,"Aapko BigBasket mein Rs.963,221/month salary wali job ke liye select kiya gaya hai. Abhi register karein: http://offer4u-claim.co/qs6iq",yes,No,No
Smishing,"Priya applicant, aapka Passport Seva document ready hai. Download karein aur processing fee pay karein: http://kyc-verify-secure.info/9owah",yes,No,No
Smishing,"Priya Grahak, aapka Punjab National Bank account aaj block ho jayega. Turant KYC update karein: http://offer4u-claim.co/huwyp",yes,No,No
ham,"Mom, main 3:39 PM tak ghar aa jaunga, dinner ke liye wait mat karna.",No,No,No
spam,Sirf Rs.181/month mein exclusive insurance plan. Apni family ko protect karein. Call karein +916723477585.,No,No,yes
ham,Meesho ke saath aapki booking 08-06-2025 ke liye confirm ho gayi hai. PNR: TWHWR1ZY.,No,No,No
Smishing,"Rs.3,301 ka Income Tax Refund pending hai. 26-08-2025 se pehle claim karne ke liye http://offer4u-claim.co/2xq1c par click karein.",yes,No,No
Smishing,Aapka electricity connection aaj raat bakaya bill ki wajah se disconnect ho jayega. Turant pay karein: http://paytm-kyc-update.co/0q4iw,yes,No,No
Smishing,"Badhai ho! Aapka mobile number Nykaa lucky draw mein Rs.961,378 jeet chuka hai. Abhi claim karein: http://bit.ly/kc36QUf",yes,No,No
spam,Badhai ho! Aap Rs.700 ke pre-approved loan ke liye qualify karte hain. Abhi APPLY reply karein.,No,No,No
Smishing,Aapko Meesho mein Rs.616/month salary wali job ke liye select kiya gaya hai. Abhi register karein: http://account-verify24.xyz/81agd,yes,No,No
spam,"3 dosto ko refer karke Rs.81,576 ka free recharge paayein. Abhi REFER reply karein.",No,No,No
spam,"BSNL ke Rs.42,702 recharge ke saath 2 free movie tickets paayein, sirf is hafte.",No,No,No
spam,"Sirf Rs.95,630/month mein exclusive insurance plan. Apni family ko protect karein. Call karein +917099233959.",No,No,yes
Smishing,Aapka credit score gir gaya hai! Ise abhi http://cutt.ly/vp94nsS par check aur fix karein.,yes,No,No
ham,Snapdeal ke saath aapki booking 20-09-2026 ke liye confirm ho gayi hai. PNR: 7MTOC0TL.,No,No,No
Smishing,"Aapko Google Pay se Rs.649,017 ka payment mila hai. Accept karne ke liye yahan click karein: http://secure-login-update.net/whv7q",yes,No,No
ham,"Aapka Jio prepaid recharge Rs.898,765 ka successful hua hai. Validity 12-06-2025 tak.",No,No,No
