record_id,deidentified_text,annotator_1_label,annotator_2_label,is_disagreement,disagreement_reason,adjudicated_label,adjudication_rationale
ANN_0001,URGENT: Electricity power will be disconnected tonight at 9:30 PM due to unpaid bill of Rs.850. Call electricity officer immediately at 9875682867: http://bit.ly/msedcl-bill.apk,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0002,"Dear Customer, Your SBI Bank account has been blocked today. To unblock and keep active, immediately update KYC: http://sbi-kyc-secure.online",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0003,Traffic Police: You have a pending e-challan of Rs.1000 on your vehicle. Pay immediately to avoid court notice: http://echallan-parivahan-gov.in.apk,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0004,"Congratulations! Your mobile number has won Rs.25,00,000 in KBC Lucky Draw 2026. Contact lottery manager on WhatsApp at 9814981505 to claim.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0005,"Dear User, Rs.5000 has been sent to your account by mistake. Please refund to UPI ID: refund-help@upi or call 9886893497 immediately.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0006,"Income Tax Department: Your tax refund of Rs.14,250 is approved. Submit your bank account and debit card details to receive amount: http://incometax-refund.link",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0007,Part Time Job: Earn Rs.2000 to Rs.5000 daily working from home just by liking YouTube videos. Contact HR on Telegram: http://t.me/daily_income_jobs,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0008,"Dear Customer, Your credit card is blocked due to suspicious activity. Call support at 9875285250 immediately to verify your identity and card PIN.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0009,"महावितरण: प्रिय ग्राहक, तुमचे वीज बिल रु 850 थकबाकी आहे. आज रात्री वीज पुरवठा खंडित केला जाईल. तात्काळ 9820959014 वर संपर्क करा.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0010,"प्रिय ग्राहक, आपले बँक खाते तात्काळ ब्लॉक केले जाईल. चालू ठेवण्यासाठी त्वरित केवायसी अपडेट करा: http://sbi-kyc-update.online",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0011,बिजली विभाग: आपका बिजली बिल बकाया है। कनेक्शन आज रात काट दिया जाएगा। तुरंत 9879778859 पर कॉल करें या भुगतान करें: http://bses-bill-pay.link,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0012,URGENT: Electricity power will be disconnected tonight at 9:30 PM due to unpaid bill of Rs.850. Call electricity officer immediately at 9823187277: http://bit.ly/msedcl-bill.apk,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0013,"Dear Customer, Your SBI Bank account has been blocked today. To unblock and keep active, immediately update KYC: http://sbi-kyc-secure.online",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0014,Traffic Police: You have a pending e-challan of Rs.1000 on your vehicle. Pay immediately to avoid court notice: http://echallan-parivahan-gov.in.apk,SCAM,TRANSACTIONAL,True,Annotator 2 viewed toll-free format as potential bank customer care.,SCAM,Lead Auditor confirmed malicious coercive urgency and unverified APK link.
ANN_0015,"Congratulations! Your mobile number has won Rs.25,00,000 in KBC Lucky Draw 2026. Contact lottery manager on WhatsApp at 9846601694 to claim.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0016,"Dear User, Rs.5000 has been sent to your account by mistake. Please refund to UPI ID: refund-help@upi or call 9865105831 immediately.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0017,"Income Tax Department: Your tax refund of Rs.14,250 is approved. Submit your bank account and debit card details to receive amount: http://incometax-refund.link",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0018,Part Time Job: Earn Rs.2000 to Rs.5000 daily working from home just by liking YouTube videos. Contact HR on Telegram: http://t.me/daily_income_jobs,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0019,"Dear Customer, Your credit card is blocked due to suspicious activity. Call support at 9883665032 immediately to verify your identity and card PIN.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0020,"महावितरण: प्रिय ग्राहक, तुमचे वीज बिल रु 850 थकबाकी आहे. आज रात्री वीज पुरवठा खंडित केला जाईल. तात्काळ 9870472382 वर संपर्क करा.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0021,"प्रिय ग्राहक, आपले बँक खाते तात्काळ ब्लॉक केले जाईल. चालू ठेवण्यासाठी त्वरित केवायसी अपडेट करा: http://sbi-kyc-update.online",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0022,बिजली विभाग: आपका बिजली बिल बकाया है। कनेक्शन आज रात काट दिया जाएगा। तुरंत 9847407771 पर कॉल करें या भुगतान करें: http://bses-bill-pay.link,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0023,URGENT: Electricity power will be disconnected tonight at 9:30 PM due to unpaid bill of Rs.850. Call electricity officer immediately at 9817130144: http://bit.ly/msedcl-bill.apk,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0024,"Dear Customer, Your SBI Bank account has been blocked today. To unblock and keep active, immediately update KYC: http://sbi-kyc-secure.online",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0025,Traffic Police: You have a pending e-challan of Rs.1000 on your vehicle. Pay immediately to avoid court notice: http://echallan-parivahan-gov.in.apk,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0026,"Congratulations! Your mobile number has won Rs.25,00,000 in KBC Lucky Draw 2026. Contact lottery manager on WhatsApp at 9832178434 to claim.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0027,"Dear User, Rs.5000 has been sent to your account by mistake. Please refund to UPI ID: refund-help@upi or call 9849443226 immediately.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0028,"Income Tax Department: Your tax refund of Rs.14,250 is approved. Submit your bank account and debit card details to receive amount: http://incometax-refund.link",SCAM,TRANSACTIONAL,True,Annotator 2 viewed toll-free format as potential bank customer care.,SCAM,Lead Auditor confirmed malicious coercive urgency and unverified APK link.
ANN_0029,Part Time Job: Earn Rs.2000 to Rs.5000 daily working from home just by liking YouTube videos. Contact HR on Telegram: http://t.me/daily_income_jobs,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0030,"Dear Customer, Your credit card is blocked due to suspicious activity. Call support at 9855816038 immediately to verify your identity and card PIN.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0031,"महावितरण: प्रिय ग्राहक, तुमचे वीज बिल रु 850 थकबाकी आहे. आज रात्री वीज पुरवठा खंडित केला जाईल. तात्काळ 9832993420 वर संपर्क करा.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0032,"प्रिय ग्राहक, आपले बँक खाते तात्काळ ब्लॉक केले जाईल. चालू ठेवण्यासाठी त्वरित केवायसी अपडेट करा: http://sbi-kyc-update.online",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0033,बिजली विभाग: आपका बिजली बिल बकाया है। कनेक्शन आज रात काट दिया जाएगा। तुरंत 9854066131 पर कॉल करें या भुगतान करें: http://bses-bill-pay.link,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0034,URGENT: Electricity power will be disconnected tonight at 9:30 PM due to unpaid bill of Rs.850. Call electricity officer immediately at 9880016224: http://bit.ly/msedcl-bill.apk,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0035,"Dear Customer, Your SBI Bank account has been blocked today. To unblock and keep active, immediately update KYC: http://sbi-kyc-secure.online",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0036,Traffic Police: You have a pending e-challan of Rs.1000 on your vehicle. Pay immediately to avoid court notice: http://echallan-parivahan-gov.in.apk,SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0037,"Congratulations! Your mobile number has won Rs.25,00,000 in KBC Lucky Draw 2026. Contact lottery manager on WhatsApp at 9893375337 to claim.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0038,"Dear User, Rs.5000 has been sent to your account by mistake. Please refund to UPI ID: refund-help@upi or call 9890705119 immediately.",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
ANN_0039,"Income Tax Department: Your tax refund of Rs.14,250 is approved. Submit your bank account and debit card details to receive amount: http://incometax-refund.link",SCAM,SCAM,False,N/A,SCAM,Unanimous agreement on semantic intent and regulatory header.
