text,source,sender,norm_text,category,clean_text,char_len,word_count,digit_ratio,exclaim_count,special_ratio,has_url,has_phone,currency_count,urgency_count,sensitive_info_count,refund_scam_count,label_id,is_synthetic
"I'm really enjoying this book. The characters are so well-developed and the plot is engaging. mention the keyword ""characters"" because the sender is discussing the well-developed characters in the book. This keyword alone does not indicate whether the message is spam or ham. However, the positive context of the message suggests that it is a ham message.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"i'm really enjoying this book. the characters are so well-developed and the plot is engaging. mention the keyword ""characters"" because the sender is discussing the well-developed characters in the book. this keyword alone does not indicate whether the message is spam or ham. however, the positive context of the message suggests that it is a ham message.",TRANSACTIONAL,"i'm really enjoying this book. the characters are so well-developed and the plot is engaging. mention the keyword ""characters"" because the sender is discussing the well-developed characters in the book. this keyword alone does not indicate whether the message is spam or ham. however, the positive context of the message suggests that it is a ham message.",355.0,57.0,0.0,0.0,0.030985915492957747,0.0,0.0,2.0,0.0,0.0,0.0,1,False
"Machan you go to gym tomorrow,  i wil come late goodnight.",Dataset_5971_real,,"machan you go to gym tomorrow, i wil come late goodnight.",PERSONAL,"machan you go to gym tomorrow, i wil come late goodnight.",58.0,11.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0,False
ÌÏ no home work to do meh...,BleeGleeWee_Spam-SMS-Detection_main_spam.csv,,ìï no home work to do meh...,PERSONAL,ìï no home work to do meh...,28.0,7.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0,False
Dunno lei shd b driving lor cos i go sch 1 hr oni.,Dataset_5971_real,,dunno lei shd b driving lor cos i go sch 1 hr oni.,PERSONAL,dunno lei shd b driving lor cos i go sch 1 hr oni.,50.0,13.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"The report is due next week, please make sure it's completed on time. mention the keyword ""next week"" because it refers to a specific time frame in the future. This keyword alone does not indicate whether the message is spam or ham. However, if the message is from an unknown sender or if the deadline is unrealistic, it could be a scam or a phishing attempt and considered spam.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"the report is due next week, please make sure it's completed on time. mention the keyword ""next week"" because it refers to a specific time frame in the future. this keyword alone does not indicate whether the message is spam or ham. however, if the message is from an unknown sender or if the deadline is unrealistic, it could be a scam or a phishing attempt and considered spam.",TRANSACTIONAL,"the report is due next week, please make sure it's completed on time. mention the keyword ""next week"" because it refers to a specific time frame in the future. this keyword alone does not indicate whether the message is spam or ham. however, if the message is from an unknown sender or if the deadline is unrealistic, it could be a scam or a phishing attempt and considered spam.",379.0,69.0,0.0,0.0,0.026385224274406333,0.0,0.0,1.0,0.0,0.0,0.0,1,False
Good night. Am going to sleep.,Dataset_5971_real,,good night. am going to sleep.,PERSONAL,good night. am going to sleep.,30.0,6.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"Hi there! I'd be happy to help answer any questions you might have about our products or services. Just let me know what you're looking for and I'll do my best to provide you with accurate and up-to-date information. mention the keyword ""Hi there!"" because it is a common greeting used in informal communication. It does not indicate whether the message is a spam or ham.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"hi there! i'd be happy to help answer any questions you might have about our products or services. just let me know what you're looking for and i'll do my best to provide you with accurate and up-to-date information. mention the keyword ""hi there!"" because it is a common greeting used in informal communication. it does not indicate whether the message is a spam or ham.",PERSONAL,"hi there! i'd be happy to help answer any questions you might have about our products or services. just let me know what you're looking for and i'll do my best to provide you with accurate and up-to-date information. mention the keyword ""hi there!"" because it is a common greeting used in informal communication. it does not indicate whether the message is a spam or ham.",371.0,66.0,0.0,2.0,0.03504043126684636,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"Thatï¿½ï¿½ï¿½s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",alexander-fischer_lstm-kaggle-sms-spam-example_master_spam.csv,,"thatï¿½ï¿½ï¿½s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",PERSONAL,"thatï¿½ï¿½ï¿½s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",132.0,26.0,0.0,1.0,0.05303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0,False
"I'm not interested in your religion or your politics. I just want to know if you'd like to go out for dinner sometime? mention the keyword ""dinner"". This keyword is not inherently related to spam messages. People often use this keyword to invite others to eat together, which is a common social activity. In this message, the sender is using the keyword ""dinner"" to make a friendly invitation to go out and eat together. Therefore, the mention of this keyword in this message does not indicate that it is a spam message.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"i'm not interested in your religion or your politics. i just want to know if you'd like to go out for dinner sometime? mention the keyword ""dinner"". this keyword is not inherently related to spam messages. people often use this keyword to invite others to eat together, which is a common social activity. in this message, the sender is using the keyword ""dinner"" to make a friendly invitation to go out and eat together. therefore, the mention of this keyword in this message does not indicate that it is a spam message.",TRANSACTIONAL,"i'm not interested in your religion or your politics. i just want to know if you'd like to go out for dinner sometime? mention the keyword ""dinner"". this keyword is not inherently related to spam messages. people often use this keyword to invite others to eat together, which is a common social activity. in this message, the sender is using the keyword ""dinner"" to make a friendly invitation to go out and eat together. therefore, the mention of this keyword in this message does not indicate that it is a spam message.",520.0,92.0,0.0,0.0,0.03076923076923077,0.0,0.0,1.0,0.0,0.0,0.0,1,False
"Overall, the message is a ham message as it contains positive and motivational content. The sender is expressing happiness and encouragement towards the recipient, making it unlikely to be a spam message.",BubbleJoe_bootstrap_sms_v2_default_train.parquet,,"overall, the message is a ham message as it contains positive and motivational content. the sender is expressing happiness and encouragement towards the recipient, making it unlikely to be a spam message.",PERSONAL,"overall, the message is a ham message as it contains positive and motivational content. the sender is expressing happiness and encouragement towards the recipient, making it unlikely to be a spam message.",204.0,32.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0,False
