LABEL,TEXT,URL,EMAIL,PHONE
ham,"Family trip to Jaipur is confirmed for December, so excited!",No,No,No
ham,The municipal water supply will be interrupted tomorrow from 10 AM to 2 PM for maintenance.,No,No,No
ham,"If you haven't gotten your vaccine dose yet, please visit your nearest health centre.",No,No,No
ham,"Blood donation camp organized at the community centre this weekend, all are welcome.",No,No,No
ham,The park will be closed for renovation from 13-10-2025 to 02-03-2025.,No,No,No
ham,Please segregate your waste into wet and dry bins as per municipal guidelines.,No,No,No
ham,"Reminder: your library books are due for return by 17-05-2025, late fee applies after.",No,No,No
ham,The society AGM is scheduled for 16-09-2025 at 6 PM in the clubhouse.,No,No,No
ham,Who's up for a weekend trip to Pondicherry? Let me know by Friday.,No,No,No
ham,Voting for the society elections will be held this Sunday at the community hall.,No,No,No
ham,"Free health checkup camp at the local clinic this Saturday, walk-ins welcome.",No,No,No
ham,Let's finally plan that Jaipur vacation we keep talking about.,No,No,No
ham,"Thinking of a road trip to Jaipur this long weekend, you in?",No,No,No
ham,"Let's plan a trip to Udaipur next month, everyone free?",No,No,No
ham,The park will be closed for renovation from 18-06-2025 to 16-03-2026.,No,No,No
ham,The park will be closed for renovation from 17-09-2026 to 10-11-2026.,No,No,No
ham,Let's finally plan that Udaipur vacation we keep talking about.,No,No,No
ham,The park will be closed for renovation from 18-04-2025 to 17-04-2025.,No,No,No
ham,"Thinking of a road trip to Shimla this long weekend, you in?",No,No,No
ham,"Reminder: your library books are due for return by 05-11-2026, late fee applies after.",No,No,No
ham,"Reminder: your library books are due for return by 28-04-2025, late fee applies after.",No,No,No
ham,"Thinking of a road trip to Kerala this long weekend, you in?",No,No,No
ham,"Let's plan a trip to Rishikesh next month, everyone free?",No,No,No
ham,"Reminder: your library books are due for return by 08-05-2026, late fee applies after.",No,No,No
ham,"Thinking of a road trip to Rishikesh this long weekend, you in?",No,No,No
ham,Who's up for a weekend trip to Udaipur? Let me know by Friday.,No,No,No
ham,Who's up for a weekend trip to Rishikesh? Let me know by Friday.,No,No,No
ham,Reminder: submit your society maintenance payment by 07-11-2025 to avoid late fee.,No,No,No
ham,"Family trip to Pondicherry is confirmed for December, so excited!",No,No,No
ham,Who's up for a weekend trip to Shimla? Let me know by Friday.,No,No,No
ham,Reminder: submit your society maintenance payment by 26-01-2025 to avoid late fee.,No,No,No
ham,"Let's plan a trip to Jaipur next month, everyone free?",No,No,No
ham,Who's up for a weekend trip to Goa? Let me know by Friday.,No,No,No
ham,The park will be closed for renovation from 21-07-2025 to 11-04-2026.,No,No,No
ham,Let's finally plan that Rishikesh vacation we keep talking about.,No,No,No
ham,"Family trip to Manali is confirmed for December, so excited!",No,No,No
ham,Reminder: submit your society maintenance payment by 21-07-2026 to avoid late fee.,No,No,No
ham,The park will be closed for renovation from 09-09-2026 to 18-04-2026.,No,No,No
ham,"Family trip to Kerala is confirmed for December, so excited!",No,No,No
ham,Reminder: submit your society maintenance payment by 22-06-2025 to avoid late fee.,No,No,No
ham,Reminder: submit your society maintenance payment by 25-11-2026 to avoid late fee.,No,No,No
ham,"Let's plan a trip to Goa next month, everyone free?",No,No,No
