text,category,language,source
"महावितरण: प्रिय ग्राहक, तुमचे वीज बिल रु 850 थकबाकी आहे. आज रात्री वीज पुरवठा खंडित केला जाईल. तात्काळ 9876543210 वर संपर्क करा.",SCAM,mr,user_dataset_384
"प्रिय ग्राहक, आपले बँक खाते तात्काळ ब्लॉक केले जाईल. चालू ठेवण्यासाठी त्वरित केवायसी अपडेट करा: http://sbi-kyc-update.online",SCAM,mr,user_dataset_384
ट्रॅफिक पोलीस: तुमच्या वाहनावर रु 1500 चा प्रलंबित ई-चालान आहे. कायदेशीर कारवाई टाळण्यासाठी येथे भरा: http://mahatraffic-challan.apk,SCAM,mr,user_dataset_384
"अभिनंदन! आपण रु 5,00,000 ची लॉटरी जिंकली आहे. बक्षीस मिळवण्यासाठी तात्काळ संपर्क साधा: +919876543210",SCAM,mr,user_dataset_384
"चुकून तुमच्या खात्यात रु 4,500 ट्रान्सफर झाले आहेत. कृपया या यूपीआई आयडीवर परत करा: 9876543210@paytm",SCAM,mr,user_dataset_384
महावितरण: तुमचे मीटर आज काढून टाकले जाईल. वीज अधिकारी 9876543210 यांच्याशी तात्काळ बोला.,SCAM,mr,user_dataset_384
आपले पॅन कार्ड निष्क्रिय करण्यात आले आहे. सक्रिय करण्यासाठी त्वरित आधार लिंक करा: http://pan-link-service.link,SCAM,mr,user_dataset_384
पीएम किसान सन्मान निधी: तुमचा 16 वा हप्ता थांबवला आहे. चालू करण्यासाठी त्वरित केवायसी पूर्ण करा: http://pmkisan-kyc.top,SCAM,mr,user_dataset_384
"प्रिय ग्राहक, महावितरण वीज बिल रु 1,240 यशस्वीरित्या भरले गेले आहे. पावती क्रमांक: MSEDCL984214.",TRANSACTIONAL,mr,user_dataset_384
"तुमच्या बँक खात्यातून रु 500.00 डेबिट झाले आहेत (UPI Ref 482910394810). शिल्लक: रु 14,250.00.",TRANSACTIONAL,mr,user_dataset_384
आपला Jio नंबर 7820972280 चा रिचार्ज यशस्वी झाला आहे. वैध: 28 दिवस. माहितीसाठी 1991 वर कॉल करा.,TRANSACTIONAL,mr,user_dataset_384
डेटा वापर अलर्ट! आपण आजच्या डेटापैकी 50% वापर केला आहे. शिल्लक डेटा: 1 GB.,TRANSACTIONAL,mr,user_dataset_384
"नमस्कार आई, मी संध्याकाळी 7 वाजता घरी पोहोचत आहे. जेवण बनवून ठेव.",PERSONAL,mr,user_dataset_384
"भावा, उद्या सकाळी आपण मंदिरात जाऊया का? मला फोन कर.",PERSONAL,mr,user_dataset_384
दिवाळी विशेष सेल! सर्व कपड्यांवर 40% सूट. आजच नजीकच्या दुकानाला भेट द्या: https://dmart.in,PROMOTIONAL,mr,user_dataset_384
बिजली विभाग: आपका बिजली बिल बकाया है। आज रात 9:30 बजे कनेक्शन काट दिया जाएगा। तुरंत 9876543210 पर संपर्क करें।,SCAM,hi,user_dataset_384
"प्रिय ग्राहक, आपका एसबीआई बैंक खाता आज ब्लॉक हो जाएगा। चालू रखने के लिए तुरंत केवाईसी अपडेट करें: http://sbi-secure-kyc.in",SCAM,hi,user_dataset_384
ट्रैफिक पुलिस: आपके वाहन पर चालान रु 1000 लंबित है। कोर्ट नोटिस से बचने के लिए तुरंत भुगतान करें: http://echallan-parivahan-pay.apk,SCAM,hi,user_dataset_384
गलती से आपके खाते में रु 5000 ट्रांसफर हो गए हैं। कृपया तुरंत इस यूपीआई पर वापस भेजें: 9876543210@upi,SCAM,hi,user_dataset_384
"बधाई हो! आपका नंबर कौन बनेगा करोड़पति में रु 25,00,000 जीत चुका है। व्हाट्सएप पर संपर्क करें: +919876543210",SCAM,hi,user_dataset_384
आपका पैन कार्ड आज निष्क्रिय कर दिया जाएगा। पैन-आधार लिंक करने के लिए क्लिक करें: http://incometax-pan-aadhaar.link,SCAM,hi,user_dataset_384
वर्क फ्रॉम होम: घर बैठे प्रतिदिन 2000-5000 रुपये कमाएं। केवल यूट्यूब वीडियो लाइक करें। संपर्क करें: http://t.me/earn_daily_task,SCAM,hi,user_dataset_384
"प्रिय ग्राहक, आपके खाते से रु 1,500.00 डेबिट किए गए हैं (UPI Ref 128492019481). शेष राशि: रु 8,450.00.",TRANSACTIONAL,hi,user_dataset_384
एसबीआई ऑनलाइन बैंकिंग के लिए आपका ओटीपी 482910 है। यह किसी के साथ साझा न करें।,TRANSACTIONAL,hi,user_dataset_384
बिजली बिल भुगतान: रु 780 का भुगतान सफलतापूर्वक प्राप्त हुआ। रसीद संख्या: UPPCL849201.,TRANSACTIONAL,hi,user_dataset_384
"नमस्ते भैया, आज शाम को ट्रेन समय पर आएगी क्या? मुझे स्टेशन लेने आ जाना।",PERSONAL,hi,user_dataset_384
"अरे भाई, कल कॉलेज में असाइनमेंट जमा करना है या नहीं?",PERSONAL,hi,user_dataset_384
त्योहारों का धमाकेदार ऑफर! आज ही खरीदें और पाएं 50% तक की छूट। बिग बाजार चलें: https://bigbazaar.com,PROMOTIONAL,hi,user_dataset_384
