message_id,sender_number,category,message_text,service,is_from_me,timestamp
12825,VD-axioPL-S,transactional,"Dear Customer,
An Axio agent is scheduled to visit your registered address to collect due amount on your Amazon Pay later account. Please ensure availability.
To avoid further action, make payment here: https://u.axio.ac/axo/0v0nAG4pFnxRV6l
Or contact the agent at 08634017553.
Ignore if paid - axio",SMS,0,2026-04-30 13:00:36
12824,JD-MSEDCL-S,transactional,"Dear Consumer 021510654321, your power supply is disconnected due to arrears amount Rs. 2826.23 .Please pay immediately for reconnection. Pay via Mahavitaran or Maha Vidyut Mobile App  or at MSEDCL cash collection center. MSEDCL",SMS,0,2026-04-30 10:13:49
12823,JD-KOTAKB-S,transactional,"Sent Rs.5.00 from Kotak Bank AC X2056 to bharatpe9d0m7s3p0y501066@yesbankltd on 30-04-26.UPI Ref 648627050612. Not you, https://kotak.com/KBANKT/Fraud",SMS,0,2026-04-30 09:57:25
12822,VM-axioPL-S,transactional,"Dear Customer,
An Axio agent is scheduled to visit your registered address to collect due amount on your Amazon Pay later account. Please ensure availability.
To avoid further action, make payment here: https://u.axio.ac/axo/0v0nAG4pFnxRV6l
Or contact the agent at 08634017553.
Ignore if paid - axio",SMS,0,2026-04-30 08:05:20
12821,VD-axioPL-S,transactional,"Dear Customer,
An Axio agent is scheduled to visit your registered address to collect due amount on your Amazon Pay later account. Please ensure availability.
To avoid further action, make payment here: https://u.axio.ac/axo/0v0nAG4pFnxRV6l
Or contact the agent at 08634017553.
Ignore if paid - axio",SMS,0,2026-04-29 18:45:07
12818,JK-620016-P,promotional,Your family member with Jio number 9284577299 is missing out on UNLIMITED 5G DATA!! The  current plan does not provide truly unlimited 5G data. Simply recharge with a Rs. 51 add-on for them to  enjoy blazing-fast UNLIMITED 5G for rest of the  plan validity. HURRY! Recharge now - www.jio.com/r/DrYQ3xF9c,SMS,0,2026-04-29 18:03:55
12820,VD-axioPL-S,transactional,"Dear Customer,
An Axio agent is scheduled to visit your registered address to collect due amount on your Amazon Pay later account. Please ensure availability.
To avoid further action, make payment here: https://u.axio.ac/axo/0v0nAG4pFnxRV6l
Or contact the agent at 08634017553.
Ignore if paid - axio",SMS,0,2026-04-29 14:00:26
12819,VA-SUBWAY-P,promotional,"Your fav Tandoori Chicken Tikka Sub miss you! Get 100 OFF on 299 at Subway. Visit now to order delicious & fresh Subs, Salads & Wraps. Code: xeg35xpq9e Valid till 3 May. TnC",SMS,0,2026-04-29 13:40:57
12815,+918862006200,transactional,"Dear Customer, You have a missed call from +918862006200 The last missed call was at 10:08 AM on 29-Apr-2026 Thankyou, Team Jio.",SMS,0,2026-04-29 10:08:56
12813,VA-CANBNK-S,transactional,An amount of INR 300.00 has been kept as hold in your account Number ending with XXXX3100. Total Avail Bal INR -535.61 - Canara Bank.,SMS,0,2026-04-28 21:49:59
