LABEL,TEXT,URL,EMAIL,PHONE
ham,Aapka Flipkart return approve ho gaya hai. Refund track karein: https://nykaa.com/order/SpqM6F,yes,No,No
ham,"Class ke notes upload ho gaye hain, yahan se download karein: https://spicejet.com/checkin/xcPw42",yes,No,No
ham,Aapka Myntra order #N9TDXTC0 out for delivery hai. Track karein: https://policybazaar.com/documents/OCDJGk,yes,No,No
ham,Rs.778 ka payment mil gaya hai. Receipt dekhein: https://zoom.us/j/1234567890/ETrtMN,yes,No,No
ham,Aapka Canara Bank e-statement October ke liye available hai: https://naukri.com/profile/7zmCOO,yes,No,No
ham,"Woh recipe jo maine bataya tha, yeh raha: https://porter.in/booking/o5bhEu",yes,No,No
ham,Aapka Vi bill online dekhne ke liye ready hai: https://youtube.com/watch/wYuUYh,yes,No,No
ham,Aapki flight ticket confirm ho gayi hai. E-ticket dekhein: https://axisbank.com/statements/etvkag,yes,No,No
ham,Aapki flight ticket confirm ho gayi hai. E-ticket dekhein: https://spicejet.com/checkin/CabZIR,yes,No,No
ham,Aapka BSNL bill online dekhne ke liye ready hai: https://naukri.com/profile/pr2cvU,yes,No,No
ham,Aapke train PNR R13W5KC3 ka status: https://porter.in/booking/3zVVSd,yes,No,No
ham,Yeh interesting article dekho jo maine dhoonda: https://cred.club/statements/NB3fKd,yes,No,No
ham,6:46 AM baje team meeting join karein: https://microsoft.com/teams/DnQHk6,yes,No,No
ham,Aapka Vi bill online dekhne ke liye ready hai: https://cleartrip.com/booking/Gp8zRm,yes,No,No
ham,"Yeh video dekho, bahut funny hai: https://practo.com/appointments/hnAwDz",yes,No,No
ham,9:31 PM baje team meeting join karein: https://amazon.in/track/IW9yEM,yes,No,No
ham,Aaj raat ke dinner ka location yeh hai: https://airtel.in/bill/ra4Guc,yes,No,No
ham,Aapka Canara Bank e-statement February ke liye available hai: https://airtel.in/bill/oCiBfY,yes,No,No
ham,Aapka Blue Dart order ship ho gaya hai! Yahan live track karein: https://pharmeasy.in/order/AV5wQt,yes,No,No
ham,"Woh recipe jo maine bataya tha, yeh raha: https://porter.in/booking/IYoV5M",yes,No,No
ham,Aapki flight ticket confirm ho gayi hai. E-ticket dekhein: https://airtel.in/bill/1jvCrF,yes,No,No
ham,Aapka Nykaa return approve ho gaya hai. Refund track karein: https://paytmbank.com/statements/bPELMD,yes,No,No
ham,"Yeh video dekho, bahut funny hai: https://zerodha.com/reports/ycPeRS",yes,No,No
ham,Aapke train PNR 3PQ5ZSY8 ka status: https://swiggy.com/order/PNYWht,yes,No,No
ham,Shaadi ke liye yahan RSVP karein: https://axisbank.com/statements/pp9Qh6,yes,No,No
ham,Yeh interesting article dekho jo maine dhoonda: https://indigo.in/checkin/gzdNxS,yes,No,No
ham,Shaadi ke liye yahan RSVP karein: https://zerodha.com/reports/wpswJD,yes,No,No
ham,"Class ke notes upload ho gaye hain, yahan se download karein: https://zerodha.com/reports/MOUSE8",yes,No,No
ham,"Class ke notes upload ho gaye hain, yahan se download karein: https://upstox.com/portfolio/VnaU1m",yes,No,No
ham,8:12 PM baje team meeting join karein: https://yatra.com/booking/BMGMv1,yes,No,No
