LABEL,TEXT,URL,EMAIL,PHONE
ham,आपका Myntra ऑर्डर #1WF742UM डिलीवरी के लिए निकल चुका है। ट्रैक करें: https://rapido.bike/trip/AhS670,yes,No,No
ham,"क्लास के नोट्स अपलोड हो गए हैं, यहां से डाउनलोड करें: https://meet.google.com/abc-defg-hij/F2cP7d",yes,No,No
ham,12:22 PM बजे टीम मीटिंग जॉइन करें: https://dominos.co.in/order/u9OoS2,yes,No,No
ham,"यह वीडियो देखो, बहुत मजेदार है: https://irctc.co.in/pnr/6D9flJ",yes,No,No
ham,यह दिलचस्प लेख देखें जो मुझे मिला: https://practo.com/appointments/9fqvrN,yes,No,No
ham,शादी के लिए यहां RSVP करें: https://pharmeasy.in/order/1LGBJp,yes,No,No
ham,यह दिलचस्प लेख देखें जो मुझे मिला: https://policyx.com/renew/aWPsSN,yes,No,No
ham,शादी के लिए यहां RSVP करें: https://bigbasket.com/order/9t9GJ3,yes,No,No
ham,"Rs.3,946 का भुगतान प्राप्त हुआ। रसीद देखें: https://rapido.bike/trip/bUxjVD",yes,No,No
ham,"क्लास के नोट्स अपलोड हो गए हैं, यहां से डाउनलोड करें: https://swiggy.com/order/k95CQr",yes,No,No
ham,"यह वीडियो देखो, बहुत मजेदार है: https://dominos.co.in/order/okU2r0",yes,No,No
ham,यह दिलचस्प लेख देखें जो मुझे मिला: https://zerodha.com/reports/BNvjrx,yes,No,No
ham,शादी के लिए यहां RSVP करें: https://webex.com/meet/J6wh1u,yes,No,No
ham,आपका Kotak Mahindra Bank ई-स्टेटमेंट October के लिए उपलब्ध है: https://icicibank.com/statements/FFRElA,yes,No,No
ham,आपका Amazon रिटर्न स्वीकृत हो गया है। रिफंड ट्रैक करें: https://zoom.us/j/1234567890/B3AhPf,yes,No,No
ham,आपका Flipkart ऑर्डर #JMFM5WN4 डिलीवरी के लिए निकल चुका है। ट्रैक करें: https://netflix.com/browse/gffEdC,yes,No,No
ham,11:19 PM बजे टीम मीटिंग जॉइन करें: https://upstox.com/portfolio/Lg4Kja,yes,No,No
ham,आज रात के डिनर की लोकेशन यह है: https://policyx.com/renew/JSIlOm,yes,No,No
ham,शादी के लिए यहां RSVP करें: https://spicejet.com/checkin/R0uLgZ,yes,No,No
ham,यह दिलचस्प लेख देखें जो मुझे मिला: https://byjus.com/class/kliZxM,yes,No,No
ham,यह दिलचस्प लेख देखें जो मुझे मिला: https://lenskart.com/order/HHWrqw,yes,No,No
ham,यह दिलचस्प लेख देखें जो मुझे मिला: https://meet.google.com/abc-defg-hij/uLg3GD,yes,No,No
ham,"क्लास के नोट्स अपलोड हो गए हैं, यहां से डाउनलोड करें: https://practo.com/appointments/P18Xr0",yes,No,No
ham,शादी के लिए यहां RSVP करें: https://yatra.com/booking/qh236t,yes,No,No
ham,आपके ट्रेन पीएनआर 3SOT07FU की स्थिति: https://linkedin.com/in/profile/Ob0hQO,yes,No,No
ham,आपका Meesho ऑर्डर #S4YS6736 डिलीवरी के लिए निकल चुका है। ट्रैक करें: https://livpure.com/service/SKS6Tr,yes,No,No
ham,आज रात के डिनर की लोकेशन यह है: https://axisbank.com/statements/qnBd98,yes,No,No
ham,आपके ट्रेन पीएनआर AFRZPXFH की स्थिति: https://irctc.co.in/pnr/6iIRa4,yes,No,No
ham,"वह रेसिपी जो मैंने बताई थी, यह रही: https://drive.google.com/file/eS0lfv",yes,No,No
ham,आज रात के डिनर की लोकेशन यह है: https://drive.google.com/file/f8bIFh,yes,No,No
ham,यह दिलचस्प लेख देखें जो मुझे मिला: https://upstox.com/portfolio/fmqAmi,yes,No,No
ham,आपके ट्रेन पीएनआर DF66I3CM की स्थिति: https://byjus.com/class/I9KxLo,yes,No,No
ham,आपका Punjab National Bank ई-स्टेटमेंट August के लिए उपलब्ध है: https://myntra.com/orders/kS8Hrg,yes,No,No
ham,आपका Ajio रिटर्न स्वीकृत हो गया है। रिफंड ट्रैक करें: https://meet.google.com/abc-defg-hij/4Kduku,yes,No,No
ham,"क्लास के नोट्स अपलोड हो गए हैं, यहां से डाउनलोड करें: https://microsoft.com/teams/bkPvJC",yes,No,No
ham,आपका Flipkart रिटर्न स्वीकृत हो गया है। रिफंड ट्रैक करें: https://youtube.com/watch/p1YryF,yes,No,No
ham,"Rs.5,706 का भुगतान प्राप्त हुआ। रसीद देखें: https://dominos.co.in/order/8pRwAw",yes,No,No
ham,आज रात के डिनर की लोकेशन यह है: https://urbancompany.com/booking/a8xvPu,yes,No,No
ham,"वह रेसिपी जो मैंने बताई थी, यह रही: https://dominos.co.in/order/nWmbDJ",yes,No,No
ham,आपकी फ्लाइट टिकट कन्फर्म हो गई है। ई-टिकट देखें: https://flipkart.com/orders/MT6Lo7,yes,No,No
ham,आज रात के डिनर की लोकेशन यह है: https://upstox.com/portfolio/mY0L1f,yes,No,No
ham,शादी के लिए यहां RSVP करें: https://nykaa.com/order/ddxm81,yes,No,No
ham,"क्लास के नोट्स अपलोड हो गए हैं, यहां से डाउनलोड करें: https://swiggy.com/order/pUmHfV",yes,No,No
ham,शादी के लिए यहां RSVP करें: https://zoom.us/j/1234567890/0B6kZf,yes,No,No
ham,आपका Airtel बिल ऑनलाइन देखने के लिए तैयार है: https://netflix.com/browse/8NesSw,yes,No,No
ham,"वह रेसिपी जो मैंने बताई थी, यह रही: https://rapido.bike/trip/uxRxcn",yes,No,No
ham,शादी के लिए यहां RSVP करें: https://zomato.com/order/ulNnnq,yes,No,No
ham,आज रात के डिनर की लोकेशन यह है: https://pharmeasy.in/order/2PkIJc,yes,No,No
ham,"वह रेसिपी जो मैंने बताई थी, यह रही: https://spicejet.com/checkin/db3SB6",yes,No,No
ham,"Rs.3,730 का भुगतान प्राप्त हुआ। रसीद देखें: https://makemytrip.com/booking/ooEyBA",yes,No,No
ham,आपका Flipkart ऑर्डर #BOKZLJIQ डिलीवरी के लिए निकल चुका है। ट्रैक करें: https://uber.com/trip/r4xY5Z,yes,No,No
ham,आपका Jio बिल ऑनलाइन देखने के लिए तैयार है: https://flipkart.com/orders/KOxSTN,yes,No,No
ham,आपकी फ्लाइट टिकट कन्फर्म हो गई है। ई-टिकट देखें: https://github.com/notifications/QSxd2i,yes,No,No
