LABEL,TEXT,URL,EMAIL,PHONE
spam,"तुमची ओळख पडताळायची आहे, कृपया कॉलवर आमच्या सपोर्ट एजंटला OTP सांगा.",No,No,No
spam,तुमची बक्षीस रक्कम तेव्हाच रिलीज होईल जेव्हा तुम्ही मोबाईलवर मिळालेला 6-अंकी कोड शेअर कराल.,No,No,No
spam,तुमची गॅस सिलेंडर सबसिडी रक्कम तेव्हाच जमा होईल जेव्हा तुम्ही पडताळणीसाठी पाठवलेला OTP शेअर कराल.,No,No,No
spam,"तुमचा रिफंड अडकला आहे, प्रक्रिया पूर्ण करण्यासाठी फोनवर आलेला व्हेरिफिकेशन कोड शेअर करा.",No,No,No
spam,"PMAY: लाभार्थी स्थिती पुष्टी करण्यासाठी, नोंदणीकृत नंबरवर आलेला OTP आमच्या हेल्पलाइनला शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.7,415 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचे वीज कनेक्शन आज संध्याकाळी बंद केले जाईल, आमच्या सिस्टममध्ये न भरलेल्या पेमेंटची नोंद आहे.",No,No,No
spam,"तुमची पाणी सेवा उद्यापासून बंद केली जाईल, तुमच्या मीटरमध्ये थकीत रक्कम आढळली आहे.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.1,469 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"Ayushman Bharat: तुमचा अर्ज होल्डवर आहे, पुढे जाण्यासाठी तुमची बँक पासबुक फोटो पाठवा.",No,No,No
spam,"तुमचे DTH रिचार्ज व्हेरिफिकेशन अयशस्वी झाले, 1 तासात पडताळणी न केल्यास कनेक्शन तोडले जाईल.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.5,286 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.4,848 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.9,590 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"Ration Card Portal: तुमचा अर्ज होल्डवर आहे, पुढे जाण्यासाठी तुमची बँक पासबुक फोटो पाठवा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.3,253 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"Post Matric Scholarship: लाभार्थी स्थिती पुष्टी करण्यासाठी, नोंदणीकृत नंबरवर आलेला OTP आमच्या हेल्पलाइनला शेअर करा.",No,No,No
spam,"Ration Card Portal: लाभार्थी स्थिती पुष्टी करण्यासाठी, नोंदणीकृत नंबरवर आलेला OTP आमच्या हेल्पलाइनला शेअर करा.",No,No,No
spam,"Post Matric Scholarship: तुमचा अर्ज होल्डवर आहे, पुढे जाण्यासाठी तुमची बँक पासबुक फोटो पाठवा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.9,100 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.8,850 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.531 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"PM Ujjwala Yojana: तुमचा अर्ज होल्डवर आहे, पुढे जाण्यासाठी तुमची बँक पासबुक फोटो पाठवा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.338 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.6,686 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"PM Ujjwala Yojana: लाभार्थी स्थिती पुष्टी करण्यासाठी, नोंदणीकृत नंबरवर आलेला OTP आमच्या हेल्पलाइनला शेअर करा.",No,No,No
spam,"PM Awas Yojana: लाभार्थी स्थिती पुष्टी करण्यासाठी, नोंदणीकृत नंबरवर आलेला OTP आमच्या हेल्पलाइनला शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.5,094 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"PM Fasal Bima Yojana: लाभार्थी स्थिती पुष्टी करण्यासाठी, नोंदणीकृत नंबरवर आलेला OTP आमच्या हेल्पलाइनला शेअर करा.",No,No,No
spam,"EPFO: लाभार्थी स्थिती पुष्टी करण्यासाठी, नोंदणीकृत नंबरवर आलेला OTP आमच्या हेल्पलाइनला शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.832 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"National Scholarship Portal: तुमचा अर्ज होल्डवर आहे, पुढे जाण्यासाठी तुमची बँक पासबुक फोटो पाठवा.",No,No,No
spam,"PM Fasal Bima Yojana: तुमचा अर्ज होल्डवर आहे, पुढे जाण्यासाठी तुमची बँक पासबुक फोटो पाठवा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.106 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.851 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"PM Awas Yojana: तुमचा अर्ज होल्डवर आहे, पुढे जाण्यासाठी तुमची बँक पासबुक फोटो पाठवा.",No,No,No
spam,"State Scholarship Scheme: लाभार्थी स्थिती पुष्टी करण्यासाठी, नोंदणीकृत नंबरवर आलेला OTP आमच्या हेल्पलाइनला शेअर करा.",No,No,No
spam,"PM Kisan Samman Nidhi: लाभार्थी स्थिती पुष्टी करण्यासाठी, नोंदणीकृत नंबरवर आलेला OTP आमच्या हेल्पलाइनला शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.8,630 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"LPG Subsidy Scheme: तुमचा अर्ज होल्डवर आहे, पुढे जाण्यासाठी तुमची बँक पासबुक फोटो पाठवा.",No,No,No
spam,"LPG Subsidy Scheme: लाभार्थी स्थिती पुष्टी करण्यासाठी, नोंदणीकृत नंबरवर आलेला OTP आमच्या हेल्पलाइनला शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.119 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"PM Kisan Samman Nidhi: तुमचा अर्ज होल्डवर आहे, पुढे जाण्यासाठी तुमची बँक पासबुक फोटो पाठवा.",No,No,No
spam,"EPFO: तुमचा अर्ज होल्डवर आहे, पुढे जाण्यासाठी तुमची बँक पासबुक फोटो पाठवा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.8,543 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.88 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.7,346 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.3,692 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"Ayushman Bharat: लाभार्थी स्थिती पुष्टी करण्यासाठी, नोंदणीकृत नंबरवर आलेला OTP आमच्या हेल्पलाइनला शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.2,999 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.9,053 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.754 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.686 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.9,505 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.2,455 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.798 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.406 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.8,513 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
spam,"तुमचा प्रलंबित कॅशबॅक Rs.226 रिलीज करण्यासाठी, कृपया आत्ताच मिळालेला OTP आमच्या एक्झिक्युटिव्हसोबत शेअर करा.",No,No,No
