LABEL,TEXT,URL,EMAIL,PHONE
ham,"Payment of Rs.9,779 received. View receipt: https://icicibank.com/statements/KdKdnI",yes,No,No
ham,Here's the location for tonight's dinner: https://olacabs.com/trip/plWfsE,yes,No,No
ham,"Payment of Rs.7,850 received. View receipt: https://upstox.com/portfolio/C06DPd",yes,No,No
ham,"Watch this video, it's hilarious: https://zomato.com/order/BI2Y1r",yes,No,No
ham,Check out this article I found interesting: https://naukri.com/profile/7QIyyD,yes,No,No
ham,Check out this article I found interesting: https://github.com/notifications/wh09CD,yes,No,No
ham,Your Amazon order #H8NY61KX is out for delivery. Track: https://redbus.in/booking/4wnHFN,yes,No,No
ham,Your train PNR 092RGVM3 status: https://airtel.in/bill/gDuD9L,yes,No,No
ham,Your DTDC order has shipped! Track it live here: https://netflix.com/browse/bKCOLK,yes,No,No
ham,Your Jio bill is ready to view online: https://1mg.com/track/ZdT3PY,yes,No,No
ham,Here is the recipe I mentioned: https://spicejet.com/checkin/dlcgCb,yes,No,No
ham,Your Meesho return has been approved. Track refund: https://indigo.in/checkin/BeoePW,yes,No,No
ham,Your BigBasket return has been approved. Track refund: https://policybazaar.com/documents/tSbIBb,yes,No,No
ham,"Payment of Rs.2,716 received. View receipt: https://bookmyshow.com/booking/fdQAe6",yes,No,No
ham,"Class notes uploaded, download here: https://drive.google.com/file/5MGmBP",yes,No,No
ham,Your flight ticket is confirmed. View e-ticket: https://docs.google.com/document/8vZRNz,yes,No,No
ham,Payment of Rs.690 received. View receipt: https://amazon.in/track/q78Hp7,yes,No,No
ham,Your flight ticket is confirmed. View e-ticket: https://airtel.in/bill/f70j3W,yes,No,No
ham,Your train PNR 6W03FSS4 status: https://flipkart.com/orders/cN7xBd,yes,No,No
ham,Your DTDC order has shipped! Track it live here: https://livpure.com/service/e4rcNm,yes,No,No
ham,Your train PNR JYYYKSQQ status: https://irctc.co.in/pnr/6bCY8B,yes,No,No
ham,Your flight ticket is confirmed. View e-ticket: https://pharmeasy.in/order/Bsivt0,yes,No,No
ham,Your DTDC order has shipped! Track it live here: https://policyx.com/renew/PNj8Bt,yes,No,No
ham,Your Bank of Baroda e-statement for August is available: https://1mg.com/track/vsT8qO,yes,No,No
ham,Your flight ticket is confirmed. View e-ticket: https://spicejet.com/checkin/foqJ3U,yes,No,No
ham,Check out this article I found interesting: https://urbancompany.com/booking/AtY8hA,yes,No,No
ham,Your Canara Bank e-statement for January is available: https://byjus.com/class/hJcS7M,yes,No,No
ham,Here is the recipe I mentioned: https://hdfcbank.com/statements/bzOdm2,yes,No,No
ham,"Class notes uploaded, download here: https://naukri.com/profile/YonVs7",yes,No,No
ham,Your BSNL bill is ready to view online: https://practo.com/appointments/lOGCtS,yes,No,No
ham,RSVP for the wedding here: https://yatra.com/booking/mHBuTD,yes,No,No
ham,"Class notes uploaded, download here: https://olacabs.com/trip/aU4N6b",yes,No,No
ham,Join our team meeting at 6:29 PM: https://irctc.co.in/pnr/FyjzOD,yes,No,No
ham,Here is the recipe I mentioned: https://uber.com/trip/rqpqBl,yes,No,No
ham,Join our team meeting at 8:58 PM: https://uber.com/trip/odLZme,yes,No,No
