LABEL,TEXT,URL,EMAIL,PHONE
ham,You've earned 100 Axis Bank reward points. Redeem them on your next transaction: https://axisbank.com/offers/IJpxMX,yes,No,No
ham,Your Paytm card is eligible for a fee waiver this year on spending Rs.150+. Check details: https://paytm.com/rewards/JmWT6h,yes,No,No
ham,Your CRED card is eligible for a fee waiver this year on spending Rs.150+. Check details: https://cred.club/rewards/YY5wJE,yes,No,No
ham,Lenskart: Flat 30% off storewide this weekend. T&C apply. Reply STOP to unsubscribe from offers. https://lenskart.com/offers/YHWB4c,yes,No,No
ham,New arrivals just dropped on 1mg! Check out the latest fashion collection: https://1mg.com/offers/vyqahe,yes,No,No
ham,"Only for today: Pepperfry is offering flat 25% off on fashion, order before midnight: https://pepperfry.com/sale/odhfdH",yes,No,No
ham,Paytm: Refer a friend and both of you get 150 reward points. Share your code NTJI69: https://paytm.com/rewards/i8hCWZ,yes,No,No
ham,You've earned 1000 Paytm reward points. Redeem them on your next transaction: https://paytm.com/rewards/lQcqDe,yes,No,No
ham,Your CRED card is eligible for a fee waiver this year on spending Rs.200+. Check details: https://cred.club/rewards/g50Uwv,yes,No,No
ham,"IRCTC: Book now and get 15% off your next trip, valid till 11-08-2026. Details: https://irctc.co.in/offers/ACBYpg",yes,No,No
ham,"MakeMyTrip: Book now and get 50% off your next trip, valid till 24-02-2026. Details: https://makemytrip.com/deals/Mleznk",yes,No,No
ham,"Last few hours of Pepperfry's Big Billion Days! Up to 70% off, shop before it ends tonight: https://pepperfry.com/sale/kPDKfG",yes,No,No
ham,"Ola: Book now and get 15% off your next trip, valid till 10-12-2025. Details: https://olacabs.com/offers/nNFSVt",yes,No,No
ham,Limited period: upgrade your Amazon Prime Video membership today and save Rs.250 on the annual fee: https://primevideo.com/offers/o1eFSe,yes,No,No
ham,Amazon Prime Video: Add a second screen to your plan for just Rs.500 more per month. Manage your plan: https://primevideo.com/offers/ZVP6AH,yes,No,No
ham,"Last few hours of Zomato's Big Billion Days! Up to 50% off, shop before it ends tonight: https://zomato.com/gold/B4uWlY",yes,No,No
ham,You've earned 250 PhonePe reward points. Redeem them on your next transaction: https://phonepe.com/rewards/MPp4Iw,yes,No,No
ham,You've earned 750 PhonePe reward points. Redeem them on your next transaction: https://phonepe.com/rewards/JQEqdb,yes,No,No
ham,You've earned 250 ICICI Bank reward points. Redeem them on your next transaction: https://icicibank.com/offers/m5DmaL,yes,No,No
ham,Swiggy's Big Sale is live! Up to 70% off on electronics. Shop now: https://swiggy.com/offers/XLZ01a,yes,No,No
